,layer_0_0,layer_0_1,layer_0_2,layer_0_3,layer_0_4,layer_1_0,layer_1_1,layer_1_2,layer_1_3,layer_1_4,layer_2_0,layer_2_1,layer_2_2,layer_2_3,layer_2_4,layer_3_0,layer_3_1,layer_3_2,layer_3_3,layer_3_4,layer_4_0,layer_4_1,layer_4_2,layer_4_3,layer_4_4
0,0.13918323604435165,0.21458871556734865,0.0,0.02783664720887033,-3.8557912989053302,0.16002544588874446,0.27107166907518826,0.0,0.03200508917774889,-2.8049494312722913,0.23982354390988309,0.4873266772625558,0.0,0.04796470878197662,-1.1589845204879379,0.2514534989897171,0.5188441707038404,0.0,0.05029069979794342,-1.048802821284388,0.28992644880126467,0.6231069073205004,1.0,0.0434889673201897,-0.7339824687047531
1,0.139581128325896,0.2156670144333225,0.0,0.027916225665179203,-3.830214355535611,0.16087636251833415,0.27337767620144754,0.0,0.03217527250366683,-2.771828434969489,0.23988048633227846,0.48748099277040235,0.0,0.04797609726645569,-1.158423181161999,0.25188735152947933,0.5200199228441175,0.0,0.05037747030589587,-1.0433505901592908,0.2551264577279196,0.5287979884225463,1.0,0.038268968659187934,-0.994179807325231
2,0.13999376694017493,0.21678527626063668,0.0,0.027998753388034987,-3.8039765930962024,0.16173325856425144,0.27569988770799847,0.0,0.03234665171285029,-2.7391363253177547,0.23994071926109228,0.4876442256398165,0.0,0.04798814385221846,-1.1578218687676705,0.2523422895628384,0.5212528172434645,0.0,0.05046845791256768,-1.0393373487058044,0.2578500638899558,0.5361790349321295,1.0,0.03867750958349337,-0.9702738109593604
3,0.1404215209853921,0.21794450131542575,0.0,0.02808430419707842,-3.7770838825118638,0.16259675142294552,0.27803997675594994,0.0,0.032519350284589105,-2.706844424690966,0.24000450848504795,0.4878170961654416,0.0,0.048000901697009594,-1.15718624417806,0.2528218466748139,0.5225524300130457,0.0,0.05056436933496278,-1.0351490447910525,0.26111341100990826,0.545022794064792,1.0,0.039167011651486235,-0.9425330656876373
4,0.14086479072355163,0.2191457743185681,0.0,0.028172958144710325,-3.749541431707902,0.16346747157348418,0.28039965196066174,0.0,0.032693494314696835,-2.6749255840057917,0.24007215575167534,0.4880004220912611,0.0,0.048014431150335074,-1.1565135784925278,0.25343968085224305,0.5242267773773525,0.0,0.050687936170448616,-1.030756056793632,0.28773796248462385,0.6171760500938316,1.0,0.04316069437269358,-0.7471781008188288
5,0.14132400918791027,0.22039026880192486,0.0,0.028264801837582055,-3.7213538013347103,0.1643460645654323,0.2827806627789493,0.0,0.03286921291308646,-2.6433539081933386,0.24014455116370936,0.4881966156198086,0.0,0.048028910232741875,-1.1558007766830318,0.25395295671593954,0.5256177688778849,0.0,0.05079059134318791,-1.0251293070052871,0.26456341275058615,0.5543723922780113,1.0,0.03968451191258792,-0.9138765814858705
6,0.14179964396122238,0.22167925192743193,0.0,0.028359928792244478,-3.6925249148917327,0.16523319646176032,0.2851848142595131,0.0,0.03304663929235207,-2.6121046474744656,0.24022140621232435,0.48840489488434785,0.0,0.048044281242464876,-1.1550385669059664,0.2544968212321179,0.5270916564556042,0.0,0.050899364246423585,-1.020482717195032,0.26851069584200377,0.5650696364281945,1.0,0.04027660437630056,-0.8825948224991269
7,0.1422921992104276,0.22301409000115882,0.0,0.02845843984208552,-3.663058068117636,0.16612954879212302,0.28761395336618706,0.0,0.033225909758424606,-2.5811539805582004,0.2403031217133058,0.48862634610651984,0.0,0.048060624342661167,-1.1542301085442597,0.25488181229929224,0.5281349926810088,0.0,0.050976362459858454,-1.0155865930245664,0.24286102574298912,0.495558335346854,1.0,0.03642915386144837,-1.107629611403024
8,0.14280221778196395,0.2243962541516638,0.0,0.02856044355639279,-3.632955933350518,0.16703582469047915,0.2900699856110546,0.0,0.03340716493809583,-2.550479177558675,0.240389108981703,0.48885937393415446,0.0,0.0480778217963406,-1.1533713163354744,0.25544679190664626,0.5296661027280387,0.0,0.051089358381329254,-1.012137605874147,0.26868730762459303,0.5655482591452385,1.0,0.04030309614368895,-0.8805780270101049
9,0.1433302835990741,0.22582732682675907,0.0,0.02866605671981482,-3.6022205720040845,0.16795274450898617,0.29255486316798424,0.0,0.03359054890179724,-2.520058372876843,0.2404806094131591,0.489107342583087,0.0,0.04809612188263182,-1.1524685126632563,0.2558419832879897,0.5307370820812729,0.0,0.05116839665759794,-1.0071012865775828,0.24292479203888034,0.4957311437368031,1.0,0.03643871880583205,-1.1061999343794933
10,0.14387702416171413,0.227309008568331,0.0,0.028775404832342828,-3.5708534411989232,0.16888106003351316,0.29507062339705464,0.0,0.03377621200670263,-2.4898707068396924,0.2405769700306758,0.4893684824679561,0.0,0.04811539400613516,-1.1515088174274457,0.2562244227964689,0.5317735035134659,0.0,0.05124488455929378,-1.0035961025901716,0.2407676858633495,0.4898853275429526,1.0,0.03611515287950243,-1.1277113477978928
11,0.1444431135628688,0.2288431261866363,0.0,0.02888862271257376,-3.5388554078508427,0.16982154402962915,0.29761936051390014,0.0,0.03396430880592583,-2.459895856916875,0.2406784031909303,0.48964336908111195,0.0,0.04813568063818607,-1.1504992510455176,0.2567329936084675,0.533151744196389,0.0,0.051346598721693504,-1.0002177194535096,0.2555871920636715,0.5300465909584593,1.0,0.03833807880955072,-0.9867397230665924
