theta_evp,theta_4,theta_3,theta_2,theta_1,root_depth
0.1261465992783145,0.21107070863315996,0.13956532349391965,0.2540983322717728,0.263929204238534,0.1
0.12146373698568992,0.21433728508401326,0.13636275610211226,0.2493632051649114,0.2604317028666517,0.1
0.1172919235663565,0.21726716609655305,0.13360016732256844,0.245582308191023,0.2567887242579501,0.1
0.2311192628873612,0.21966994500308654,0.1314343611237463,0.24233521264768543,0.253358836548504,0.1
0.20687780169357503,0.2205302525402554,0.1299182496347677,0.23944356732843577,0.2502016750978022,0.1
0.1952356821382225,0.21678653406485743,0.1288975036399989,0.23681067871737427,0.24730231449729947,0.1
0.18431166413829167,0.21288860898159917,0.12773974194307247,0.23438002460491883,0.24462896525699804,0.1
0.2929759295849836,0.2094377184567052,0.12642506391282662,0.2321316855677482,0.24215007785158996,0.1
0.23362237322916118,0.2354806091585801,0.1250040335899357,0.23004851835864418,0.23984196508801214,0.1
0.20152910647180036,0.2355451510895941,0.12809035380130762,0.2281139039113432,0.23768604199580337,0.1
0.18657522332767368,0.22883062611482027,0.13157160344799637,0.22617217981864496,0.23566689418031306,0.1
0.2877094226357224,0.22262101430128967,0.1340318005073252,0.2242174444982318,0.23374532574427467,0.1
0.23329710086714742,0.24258632029748642,0.13568191077810102,0.2222893244981826,0.23189386816399823,0.1
0.2031400769667733,0.24152866408840137,0.14164859464308358,0.22041356502652737,0.23010045246457364,0.1
0.18025280870583152,0.23410849557096894,0.14776246155894157,0.21841426890643117,0.22836079521057664,0.1
0.28160809471043297,0.22665778525175864,0.15271208571961126,0.21630012854408456,0.22664422863592038,0.1
0.21890254546353757,0.24217048575275354,0.15658799601099874,0.2141401079132737,0.2249307920332832,0.1
0.18887076060619093,0.23811059616932534,0.16374395123138127,0.21199237940301888,0.22321665227373846,0.1
0.1652136578136407,0.2303385318682727,0.17038428953065393,0.20978305831703106,0.2215072891845884,0.1
0.26797777850318083,0.22369335235582158,0.17576399345821858,0.2076273438336379,0.2197973692367078,0.1
0.21720591976840598,0.2349408442076379,0.18008121474134126,0.20563571000045425,0.2180974529772456,0.1
0.18585452006203707,0.23250326933412327,0.18629604163846322,0.2038709487863618,0.21642791753986035,0.1
0.16643091282891098,0.22590556658145544,0.19186217653547938,0.20247535907159375,0.21481028218824152,0.1
0.26990726843740714,0.2198630966501572,0.196005428364429,0.20153282861823263,0.21327535407494133,0.1
0.21207582181472442,0.23066372047931868,0.1988878046417871,0.2010038556361294,0.21185541503426816,0.11581941698957343
0.1796759388133459,0.22840561719360156,0.2031113110272028,0.20079142151590978,0.21057273042000127,0.12915275032290677
0.16017381145079693,0.2223694127243292,0.20650639907646448,0.20103889468516192,0.20943693287207202,0.1424860836562401
0.26389572365462516,0.2163720661789197,0.2086010752880671,0.20164801314005404,0.20847268967789448,0.15581941698957344
0.20876267678773902,0.223902203581351,0.20959916602136677,0.20244268107504323,0.20769364189509731,0.17108644809391996
0.1763750097648462,0.21935565858261863,0.2114929772361511,0.20327169852632268,0.20709555763951468,0.1844197814272533
0.16176888071189544,0.2114567594297622,0.21251790071669616,0.20424237457173555,0.20666006850686156,0.19775311476058663
0.26945626653819954,0.20371644763664395,0.2123847636525073,0.205231232420228,0.20638393613391684,0.21108644809391996
0.22673508287427874,0.21090968404572502,0.21135650574779702,0.206089728050492,0.2062516588685962,0.22641350726364515
0.2000084145703701,0.210235373545944,0.21130124208326498,0.2067207790571752,0.2062329781474017,0.23974684059697848
0.18675887252966994,0.2055697674069778,0.21117001346033545,0.2072718070313373,0.206289526467434,0.2530801739303118
