episode,timestep,reward,std
85,36864,-626.6073064075878,238.5334555612674
170,73728,-200.843878981631,182.00273995692064
255,110592,-217.0965191518797,225.65066305058846
341,147456,-175.55107570123042,164.29205867020113
426,184320,-129.15034320801155,173.9995378961392
511,221184,-54.39983516818954,169.25002531314027
597,258048,97.44213814891093,82.16426272631878
682,294912,36.74431935368024,114.42971384207287
767,331776,20.037411520403534,160.4559313629851
853,368640,19.722957603562822,122.77118574287444
938,405504,-47.62678530000456,176.96445849348248
1023,442368,90.17729740902554,124.39848354295354
1109,479232,58.87312321667944,110.31004232804068
1194,516096,60.806377423133846,146.05581193301086
1279,552960,100.6254427766973,90.32005755714242
1365,589824,53.31335202445846,95.92919084485739
1450,626688,129.25996015235927,82.27694804406832
1535,663552,118.59486690601634,101.38537246633133
1621,700416,83.72338585752766,128.53189568718483
1706,737280,102.65707516504895,81.6515839401531
1791,774144,127.9643298027296,58.511926316958544
1877,811008,98.7123388253759,59.98979185254621
1962,847872,76.88804230691214,123.68275802464142
2047,884736,92.05119991781632,78.43393916225271
2133,921600,90.3785627746021,80.7217848123792
2218,958464,128.5445109187938,42.32923036845383
2303,995328,146.5990537732647,43.083426817302396
2389,1032192,103.84526383369027,84.9525451752221
2474,1069056,100.26529054141035,69.57784930345838
2559,1105920,112.51094451605513,38.00042456581919
2645,1142784,82.04979703474892,109.45288406537682
2730,1179648,75.67388602231556,64.6026773216022
2815,1216512,111.9992178477601,73.54334207443861
2901,1253376,82.93343900498634,73.31599674155522
2986,1290240,64.64494568768258,92.393219834011
3071,1327104,56.6813653941352,82.821698690533
3157,1363968,95.85844484416121,38.239811397672504
3242,1400832,99.37317092718922,57.735391600744265
3327,1437696,98.23588746641987,38.6052577713532
3413,1474560,74.90122581704996,30.878371527378725
3498,1511424,73.71507475844852,47.38095191995388
3583,1548288,53.190941667341725,53.10135729433076
3669,1585152,53.66660961657622,50.57011802825996
