train/ent_coef,train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/n_updates,train/ent_coef_loss,time/fps,time/episodes
0.43497657775878906,0.0003,0.7174881100654602,288.0,20,33.0479117,-9.989141464233398,2880,2779,-2.4964637756347656,138,10
0.18778569996356964,0.0003,0.4621313810348511,288.0,41,56.299851750000016,-13.704251289367676,5760,5659,-4.271763324737549,137,20
0.08299961686134338,0.0003,0.8222770690917969,288.0,63,68.59523173333334,-17.48168182373047,8640,8539,-5.0924177169799805,136,30
0.03785179182887077,0.0003,0.28037095069885254,288.0,84,73.353303575,-19.37225341796875,11520,11419,-4.830124855041504,136,40
0.018086906522512436,0.0003,1.1069624423980713,288.0,105,78.97871512,-19.116308212280273,14400,14299,-4.4820780754089355,136,50
0.01061958447098732,0.0003,0.3589329123497009,288.0,126,81.78195056666667,-19.783056259155273,17280,17179,-0.7491787075996399,136,60
0.009126972407102585,0.0003,0.6317174434661865,288.0,147,81.3190329285714,-21.02703094482422,20160,20059,0.731897234916687,136,70
0.007761906832456589,0.0003,0.2830411195755005,288.0,168,81.29686655,-21.030872344970703,23040,22939,-1.3077178001403809,136,80
0.007516615558415651,0.0003,0.7769005298614502,288.0,189,83.33854687777777,-22.9343204498291,25920,25819,0.32550859451293945,136,90
0.006927728187292814,0.0003,0.7204931974411011,288.0,210,84.72548353999998,-23.332836151123047,28800,28699,0.06865274906158447,136,100
0.006484261713922024,0.0003,0.17002634704113007,288.0,232,89.71215054,-22.94532585144043,31680,31579,0.6063694953918457,136,110
0.0064743258990347385,0.0003,0.1450059711933136,288.0,253,92.69612696000002,-23.611459732055664,34560,34459,0.3772464990615845,136,120
0.006388650741428137,0.0003,0.17925937473773956,288.0,274,90.90602519,-24.91680145263672,37440,37339,-1.1521742343902588,136,130
0.006981051526963711,0.0003,2.517683506011963,288.0,296,91.98134704999998,-22.77252960205078,40320,40219,0.9501786231994629,136,140
0.007315820548683405,0.0003,0.5856151580810547,288.0,317,93.34490176000001,-23.825664520263672,43200,43099,-0.1940757930278778,136,150
0.006272825412452221,0.0003,0.18407078087329865,288.0,338,95.404503,-24.952133178710938,46080,45979,-1.7480976581573486,136,160
