episode,timestep,reward,std
5,576,88.06329511669426,3.718705713246291
11,1152,90.10283473701178,2.9146197306148895
17,1728,85.91916660166086,5.755987596344423
23,2304,86.32230004879088,5.167044525243956
29,2880,83.57989744757006,3.750418372389051
35,3456,85.14459731131642,5.825774856277772
41,4032,85.65614761452079,5.245679707405605
47,4608,84.71312868563831,6.965249710423206
53,5184,86.752853733176,5.223936940647795
59,5760,86.7103390101105,7.067840613585744
65,6336,86.32350574887619,6.71831379136041
71,6912,85.35845671195537,3.99109982691559
