time/total_timesteps,train/std,time/iterations,train/value_loss,train/clip_fraction,train/policy_gradient_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/learning_rate,rollout/ep_rew_mean,train/loss,train/n_updates,train/explained_variance,train/approx_kl
20480,0.7756776213645935,10,49.73552815914154,0.128173828125,-0.005355443502776325,851,24,288.0,0.2,-2.3263351023197174,0.001,-190.16898252112676,26.457687377929688,90,-5.9604644775390625e-05,0.011725112
40960,0.8122206330299377,20,14.223521089553833,0.032470703125,-0.003240236861165613,848,48,288.0,0.2,-2.370624789595604,0.001,52.56285422999999,3.3927648067474365,190,0.556316465139389,0.003907441
61440,0.7736539840698242,30,7.484913177788258,0.04140625,-0.0035794916533632205,848,72,288.0,0.2,-2.2383830919861794,0.001,83.14549354,3.641591787338257,290,0.9214363023638725,0.0071745524
81920,0.7619082927703857,40,8.960387408733368,0.07109375,-0.0018531588691985234,846,96,288.0,0.2,-2.2160651966929437,0.001,76.36163434,2.3760762214660645,390,0.9002910405397415,0.0066596395
102400,0.7567633986473083,50,3.8083458676934243,0.087548828125,-0.0024872565467376263,820,124,288.0,0.2,-2.132691928744316,0.001,73.99779858999999,1.3783520460128784,490,0.920857697725296,0.009829828
122880,0.7326128482818604,60,7.133338876068592,0.06455078125,-0.003984550267341546,813,151,288.0,0.2,-2.1306924283504487,0.001,85.82806569,1.6256376504898071,590,0.9348602145910263,0.0065795043
143360,0.7309039831161499,70,8.044612084329128,0.077685546875,-0.002927513106260449,808,177,288.0,0.2,-2.129740945994854,0.001,86.22656701999999,3.0229177474975586,690,0.9331964999437332,0.0072828773
163840,0.7001860737800598,80,8.206704457104205,0.114697265625,-0.0038742583536077293,803,204,288.0,0.2,-2.0627175316214563,0.001,85.09748560000001,4.842184066772461,790,0.9546340629458427,0.00957674
184320,0.6575645208358765,90,3.900917652249336,0.124951171875,-0.005134178808657452,806,228,288.0,0.2,-1.9567270763218403,0.001,85.73147014,1.03264582157135,890,0.9443648383021355,0.008871664
