#{"t_start": 1749489307.291285, "env_id": "None"}
r,l,t
-200.992435,432,8838.165114
-538.661811,432,8838.740496
-493.180274,432,8839.047109
-477.492743,432,8839.524429
-351.219789,432,8840.005641
-169.529402,432,8840.306821
-476.991558,432,8840.613265
-427.986966,432,8840.920111
-467.487136,432,8841.225198
-146.429015,432,8841.535654
-409.404563,432,8841.846672
-500.21719,432,8842.15629
-499.122431,432,8842.461402
-306.360609,432,8842.761717
-397.649525,432,8843.052778
-174.962684,432,8843.346985
-482.290883,432,8843.640025
-167.960418,432,8843.928285
-521.628746,432,8844.225686
-266.514791,432,8844.516769
-519.01901,432,8844.807891
-337.781063,432,8845.379456
-362.119969,432,8845.673861
-212.916998,432,8845.964965
-471.014777,432,8846.312283
-159.906534,432,8846.941536
-381.992889,432,8847.390737
-455.617537,432,8847.684955
-648.936801,432,8847.978456
-688.647608,432,8848.271651
-320.168462,432,8848.565038
7.209645,432,8848.868544
-714.439559,432,8849.177837
-18.188299,432,8849.472446
-81.647667,432,8849.764195
-209.051451,432,8850.061851
-102.469583,432,8850.35597
-219.075294,432,8850.653092
-574.315765,432,8850.964227
-234.851339,432,8851.258774
-362.449971,432,8851.552704
-285.887104,432,8851.844577
-231.839508,432,8852.450314
-78.86246,432,8852.768428
-322.65648,432,8853.065042
-443.798996,432,8853.398263
-119.77478,432,8854.075313
-442.574584,432,8854.440553
-404.187453,432,8854.735726
-223.627586,432,8855.029451
-185.177129,432,8855.327988
-253.490841,432,8855.624802
-279.52975,432,8855.927749
-244.235263,432,8856.238714
-268.631268,432,8856.537576
-443.421767,432,8856.831482
-5.149148,432,8857.121984
-229.851131,432,8857.421485
-440.971799,432,8857.729975
-153.017269,432,8858.02093
-432.829125,432,8858.314546
-252.430703,432,8858.61089
-427.296163,432,8858.909148
-61.194776,432,8859.204036
-277.561625,432,8859.774981
-143.77458,432,8860.067888
-156.284086,432,8860.36233
28.893179,432,8860.825272
-444.572924,432,8861.344429
-43.529217,432,8861.651109
14.934345,432,8861.943422
-397.509485,432,8862.235657
-192.172164,432,8862.52766
-404.785181,432,8862.819895
-447.662947,432,8863.110834
-458.689679,432,8863.403057
-151.344426,432,8863.698191
-440.392259,432,8863.994859
-151.267045,432,8864.286538
-136.920579,432,8864.577045
-177.616457,432,8864.871542
-260.103267,432,8865.164311
-203.875721,432,8865.462099
-347.102748,432,8865.758136
-334.492067,432,8866.050723
14.226654,432,8866.3874
5.611074,432,8866.623701
7.64061,432,8866.863563
6.23475,432,8867.099604
2.15848,432,8867.345102
-79.957476,432,8868.004143
-94.087584,432,8868.326082
-99.81262,432,8868.665037
-488.691022,432,8869.301636
-131.588718,432,8869.735817
-125.725724,432,8870.030052
-406.256438,432,8870.324411
-102.127139,432,8870.622414
-354.523262,432,8870.921232
-52.536613,432,8871.213293
-190.558806,432,8871.503426
-456.859134,432,8871.799576
-25.130738,432,8872.09672
-268.282257,432,8872.403324
-313.455995,432,8872.703486
-71.075313,432,8872.999599
-171.327681,432,8873.298997
-69.74593,432,8873.592909
-225.1034,432,8873.884824
-133.620441,432,8874.179991
68.680799,432,8874.475927
-150.683967,432,8875.082458
-341.838973,432,8875.375793
-280.599176,432,8875.672002
-195.336696,432,8875.98847
-220.404584,432,8876.290028
-356.565579,432,8876.585937
-127.128312,432,8876.877849
-319.089284,432,8877.165116
-546.333991,432,8877.454528
16.803551,432,8877.745569
44.852057,432,8878.036596
-266.730843,432,8878.332376
-109.628596,432,8878.627334
-408.486797,432,8878.924322
18.804146,432,8879.217964
-365.019142,432,8879.513952
-138.320685,432,8879.811078
-58.810041,432,8880.102668
-222.767276,432,8880.394407
-305.535291,432,8880.68784
42.289175,432,8880.981724
-230.80614,432,8881.56359
-246.890066,432,8881.936742
-356.585751,432,8882.24436
-601.709452,432,8882.601374
50.530303,432,8883.159648
-44.575249,432,8883.712705
-359.482642,432,8884.017984
-84.110852,432,8884.312987
-188.979407,432,8884.609769
-129.486824,432,8884.905874
-39.156013,432,8885.204892
49.556777,432,8885.501719
-227.240257,432,8885.800235
-81.827861,432,8886.097452
-8.778322,432,8886.391222
-57.010235,432,8886.684479
-204.90489,432,8886.977719
32.76091,432,8887.270719
-247.234203,432,8887.570053
89.049519,432,8887.867522
-152.518414,432,8888.160168
-158.318953,432,8888.448507
3.976252,432,8889.069098
-434.861738,432,8889.364193
-435.01491,432,8889.667049
-329.65763,432,8890.170714
-421.45432,432,8890.678219
-357.927338,432,8890.976436
-4.524102,432,8891.268901
-494.295639,432,8891.570178
-340.266767,432,8891.873798
-213.74007,432,8892.181096
-146.368716,432,8892.485867
-568.733939,432,8892.791621
-210.882371,432,8893.096162
56.934327,432,8893.401116
-339.291764,432,8893.705755
-273.839951,432,8894.002454
-81.754498,432,8894.297507
2.820296,432,8894.609111
-143.514242,432,8894.919895
-247.336463,432,8895.230007
77.707032,432,8895.530768
2.962424,432,8895.86366
3.548072,432,8896.095971
29.578111,432,8896.33224
2.86103,432,8896.579475
2.84982,432,8896.825629
-82.565493,432,8897.445823
45.025859,432,8897.737067
-29.009195,432,8898.053007
19.586769,432,8898.379917
-389.62788,432,8898.700971
64.395996,432,8898.999029
34.25031,432,8899.30129
-39.864706,432,8899.595849
-72.540877,432,8899.896348
-252.935776,432,8900.192365
-5.786988,432,8900.494338
-62.212612,432,8900.791475
63.949938,432,8901.088604
-251.649403,432,8901.381192
-388.102822,432,8901.682767
-281.114673,432,8901.990056
-160.748944,432,8902.29139
152.404544,432,8902.592217
-210.88729,432,8902.886314
135.392709,432,8903.178526
-151.166867,432,8903.478129
-18.613214,432,8904.080121
3.919544,432,8904.380983
-352.531004,432,8904.730206
-269.417889,432,8905.148263
-125.115468,432,8905.762628
-330.139127,432,8906.067001
-70.788621,432,8906.368163
75.110777,432,8906.680488
-225.287222,432,8906.97719
-240.786102,432,8907.269623
13.573967,432,8907.562673
-29.89942,432,8907.856934
-93.305688,432,8908.145129
-115.906553,432,8908.436344
-256.810473,432,8908.746167
110.61881,432,8909.04044
-370.337311,432,8909.335593
111.581824,432,8909.631215
49.997484,432,8909.924028
69.744943,432,8910.217616
-5.746344,432,8910.511937
76.416562,432,8911.109037
-324.853953,432,8911.434633
-67.067876,432,8911.737095
-329.371638,432,8912.053048
-186.882546,432,8912.359778
75.433105,432,8912.655339
-69.491699,432,8912.961161
-143.50905,432,8913.256631
-217.731049,432,8913.549359
117.033679,432,8913.841691
-77.269999,432,8914.136958
-97.397963,432,8914.434038
21.632493,432,8914.723028
185.204698,432,8915.00936
53.356422,432,8915.301871
13.773918,432,8915.595501
-72.817628,432,8915.906791
-394.818632,432,8916.197173
37.18379,432,8916.489459
-277.393746,432,8916.781436
-212.31717,432,8917.072363
69.585565,432,8917.362823
65.262769,432,8917.949455
100.546333,432,8918.240134
-69.971273,432,8918.542684
-21.771351,432,8919.035687
-518.546672,432,8919.567019
171.720454,432,8919.88286
-309.309537,432,8920.190806
-82.288254,432,8920.493861
-100.88397,432,8920.795588
-55.038599,432,8921.089723
-58.415632,432,8921.386357
-118.913459,432,8921.692414
-291.356285,432,8921.994036
-204.691946,432,8922.292898
-465.584651,432,8922.583163
-245.728468,432,8922.872764
-286.601374,432,8923.166583
-55.621379,432,8923.458675
-375.151196,432,8923.751626
-68.463414,432,8924.050941
38.318544,432,8924.348701
1.945106,432,8924.679626
9.487618,432,8924.915385
3.29792,432,8925.149281
12.031996,432,8925.384286
12.979853,432,8925.619148
-205.263967,432,8926.22987
-180.55029,432,8926.52445
-442.075452,432,8926.82998
22.824811,432,8927.254613
-282.846449,432,8927.556116
-247.94845,432,8927.862851
81.434159,432,8928.166764
-253.692957,432,8928.461643
108.84718,432,8928.762433
-55.232667,432,8929.056914
61.643868,432,8929.35393
-30.663155,432,8929.647681
-49.188822,432,8929.941231
-343.169385,432,8930.236241
92.614291,432,8930.533108
-158.241379,432,8930.837885
150.300384,432,8931.130766
-364.644804,432,8931.428009
76.54317,432,8931.733193
-139.101404,432,8932.03491
-34.371557,432,8932.332514
125.819136,432,8932.918256
-206.347887,432,8933.224156
-57.834013,432,8933.535224
239.514966,432,8933.992842
-256.421388,432,8934.698628
-138.877436,432,8935.016212
-29.440516,432,8935.325454
-370.525001,432,8935.63522
-6.612546,432,8935.943738
-90.23025,432,8936.24846
34.183888,432,8936.562571
-86.175921,432,8936.875504
135.84226,432,8937.175764
-103.776189,432,8937.48419
-288.390709,432,8937.802545
-350.518598,432,8938.116275
-48.898711,432,8938.422939
-101.378281,432,8938.734679
-138.018759,432,8939.030225
-61.651431,432,8939.335621
121.0713,432,8939.640749
34.209463,432,8940.253041
-69.247138,432,8940.575412
-85.661948,432,8940.920591
-102.811708,432,8941.460245
-274.0717,432,8942.196373
70.928639,432,8942.511455
-85.519532,432,8942.815561
51.423973,432,8943.111737
-133.781233,432,8943.411056
-30.807393,432,8943.708507
