,Unnamed: 0,means,vars,durations,episode_reward
0,0,2.420448064804077,4.590234756469727,38.44303797468354,2.420448064804077
1,1,2.457845687866211,6.208985328674316,60.86,2.457845687866211
2,2,1.9296971559524536,3.183378934860229,32.526881720430104,1.9296971559524536
3,3,1.9862626791000368,4.549651622772217,69.88372093023256,1.9862626791000368
4,4,2.01423454284668,2.9527084827423096,79.13157894736842,2.01423454284668
5,5,1.278716206550598,1.4557950496673584,84.35135135135135,1.278716206550598
6,6,1.976106882095337,3.754403114318848,71.53488372093024,1.976106882095337
7,7,2.056938886642456,2.400179862976074,49.98360655737705,2.056938886642456
8,8,2.4016170501708984,4.169686317443848,83.83333333333333,2.4016170501708984
9,9,1.956030368804932,3.02634334564209,69.02272727272727,1.956030368804932
10,10,1.8958501815795896,4.113448143005371,98.125,1.8958501815795896
11,11,2.000370740890503,2.321115493774414,88.2,2.000370740890503
12,12,2.4295408725738525,7.125839710235596,92.57575757575758,2.4295408725738525
13,13,2.07210111618042,5.6508989334106445,101.03333333333332,2.07210111618042
14,14,2.0612576007843018,4.029888153076172,90.37142857142857,2.0612576007843018
15,15,2.2275490760803223,3.949905395507813,65.25531914893617,2.2275490760803223
16,16,1.981534719467163,2.7341020107269287,104.82758620689656,1.981534719467163
17,17,2.0566256046295166,4.586001396179199,62.54166666666666,2.0566256046295166
18,18,2.18493914604187,3.2066335678100586,101.33333333333331,2.18493914604187
19,19,2.114292860031128,4.370210647583008,81.89473684210526,2.114292860031128
20,20,2.658856153488159,6.631405353546143,73.7560975609756,2.658856153488159
21,21,2.086703300476074,3.681254148483277,65.6304347826087,2.086703300476074
22,22,2.189223051071167,5.673052310943604,112.5,2.189223051071167
23,23,2.172545909881592,4.147851467132568,76.02380952380952,2.172545909881592
24,24,2.298673391342163,5.885560035705566,73.71428571428571,2.298673391342163
25,25,1.973647952079773,4.517350196838379,65.08333333333333,1.973647952079773
26,26,2.639225482940674,6.628427028656006,78.0,2.639225482940674
27,27,2.038936138153076,3.854647636413574,82.8108108108108,2.038936138153076
28,28,2.213923692703247,3.767462491989136,90.31428571428572,2.213923692703247
29,29,2.6897568702697754,7.103458881378174,75.275,2.6897568702697754
30,30,2.2540829181671143,3.960928678512573,93.9090909090909,2.2540829181671143
31,31,2.039060354232788,2.553015947341919,76.90243902439025,2.039060354232788
32,32,1.9793176651000977,4.852406978607178,94.90625,1.9793176651000977
33,33,1.6832351684570312,2.6193408966064453,89.23529411764706,1.6832351684570312
34,34,1.875261068344116,2.9421274662017822,93.9375,1.875261068344116
35,35,1.8314297199249268,2.8133342266082764,102.12903225806453,1.8314297199249268
36,36,2.429237365722656,6.477333068847656,76.925,2.429237365722656
37,37,2.31412124633789,3.7710680961608887,81.51282051282051,2.31412124633789
38,38,2.5341367721557617,5.565703868865967,87.22857142857143,2.5341367721557617
39,39,2.174306869506836,5.314136505126953,65.28260869565217,2.174306869506836
40,40,2.243828296661377,5.683173179626465,74.16666666666667,2.243828296661377
41,41,1.448883295059204,1.534294366836548,80.23076923076923,1.448883295059204
42,42,2.1739213466644287,4.611610412597656,78.325,2.1739213466644287
43,43,2.151997327804565,5.942650318145752,85.19444444444444,2.151997327804565
44,44,2.7807509899139404,8.059043884277344,84.80555555555556,2.7807509899139404
45,45,1.734832763671875,3.8989646434783936,104.75862068965516,1.734832763671875
46,46,2.555900812149048,5.730662345886231,90.31428571428572,2.555900812149048
47,47,2.3822178840637207,6.190702438354492,86.0,2.3822178840637207
48,48,2.325638771057129,5.233855724334717,95.0625,2.325638771057129
49,49,2.365238904953003,5.786971092224121,69.83720930232558,2.365238904953003
50,50,2.454578399658203,7.730599880218506,89.74285714285715,2.454578399658203
51,51,2.5466315746307373,6.7710676193237305,77.2051282051282,2.5466315746307373
52,52,2.197974920272827,4.527537345886231,64.34042553191489,2.197974920272827
53,53,2.2921414375305176,5.692099094390869,97.48387096774194,2.2921414375305176
54,54,2.421673536300659,6.388823986053467,90.74285714285716,2.421673536300659
55,55,2.513557910919189,7.233500480651855,115.25925925925924,2.513557910919189
56,56,2.4299464225769043,4.736171245574951,68.77777777777777,2.4299464225769043
57,57,2.1996641159057617,3.0571508407592773,101.56666666666666,2.1996641159057617
58,58,1.5811549425125122,1.9551491737365725,104.82758620689656,1.5811549425125122
59,59,2.540274381637573,9.031707763671877,85.82857142857142,2.540274381637573
60,60,1.9238451719284055,4.147642612457275,90.17142857142858,1.9238451719284055
61,61,2.337303400039673,5.208039283752441,88.77142857142857,2.337303400039673
62,62,2.4259121417999268,4.175707817077637,90.08571428571427,2.4259121417999268
63,63,3.252337455749512,8.529653549194336,114.8148148148148,3.252337455749512
64,64,1.9391260147094729,4.909499168395996,74.66666666666667,1.9391260147094729
65,65,2.433051347732544,4.3363189697265625,86.13513513513513,2.433051347732544
66,66,2.109654426574707,4.216114521026611,76.36585365853658,2.109654426574707
67,67,2.7780885696411133,6.220656394958496,103.73333333333332,2.7780885696411133
68,68,1.7507145404815674,4.153168678283691,101.73333333333332,1.7507145404815674
69,69,2.541260242462158,6.648374080657959,75.54761904761905,2.541260242462158
70,70,2.8755528926849365,5.678300857543945,113.92592592592592,2.8755528926849365
71,71,2.903704643249512,9.43122100830078,101.93548387096774,2.903704643249512
72,72,2.262558460235596,4.115795612335205,113.35714285714286,2.262558460235596
73,73,2.4504435062408447,6.5810546875,138.5,2.4504435062408447
74,74,2.259805917739868,7.5731916427612305,96.48484848484848,2.259805917739868
75,75,2.6176400184631348,8.773721694946289,85.91666666666667,2.6176400184631348
76,76,2.498293876647949,8.287528038024902,117.29629629629628,2.498293876647949
77,77,1.59575092792511,3.4534032344818115,104.36666666666666,1.59575092792511
78,78,2.2866878509521484,5.463022708892822,79.02631578947368,2.2866878509521484
79,79,2.873617172241211,7.7171220779418945,122.8,2.873617172241211
80,80,2.016833782196045,3.933639764785767,78.075,2.016833782196045
81,81,2.9205784797668457,9.535148620605469,104.55172413793105,2.9205784797668457
82,82,2.2310001850128174,7.099996566772461,113.51851851851852,2.2310001850128174
83,83,1.867408275604248,5.039731979370117,88.29411764705883,1.867408275604248
84,84,3.2029409408569336,9.397723197937012,98.25806451612904,3.2029409408569336
85,85,1.8406147956848145,4.717010974884033,88.61111111111111,1.8406147956848145
86,86,3.242908477783203,10.652379989624023,110.67857142857144,3.242908477783203
87,87,2.8558309078216557,8.761469841003418,97.16129032258064,2.8558309078216557
88,88,2.829294204711914,10.234237670898438,132.54166666666666,2.829294204711914
89,89,2.611443281173706,8.195597648620605,92.67647058823528,2.611443281173706
90,90,3.5141873359680176,9.503301620483398,110.85714285714286,3.5141873359680176
91,91,2.528479814529419,6.513800621032715,92.27272727272728,2.528479814529419
92,92,2.615987777709961,7.192852973937988,90.97142857142858,2.615987777709961
93,93,3.27988600730896,8.623055458068848,85.47222222222223,3.27988600730896
94,94,3.1178653240203857,10.772828102111816,86.85714285714286,3.1178653240203857
95,95,3.775552034378052,12.165366172790527,115.92307692307692,3.775552034378052
96,96,1.88192880153656,3.9520888328552246,78.475,1.88192880153656
97,97,2.137969493865967,6.450394630432129,90.22857142857144,2.137969493865967
98,98,3.277366399765014,8.906610488891602,65.93617021276596,3.277366399765014
99,99,2.683159589767456,8.28061294555664,81.1891891891892,2.683159589767456
100,100,3.079518318176269,8.701417922973633,72.4090909090909,3.079518318176269
101,101,4.006189823150635,13.174006462097168,111.60714285714286,4.006189823150635
102,102,3.015190362930298,9.50581169128418,68.22222222222223,3.015190362930298
103,103,2.880847930908203,9.762103080749512,85.88571428571429,2.880847930908203
104,104,2.9162542819976807,8.08148193359375,73.86046511627907,2.9162542819976807
105,105,3.4731578826904297,12.373762130737305,84.05263157894737,3.4731578826904297
106,106,3.492269992828369,14.248245239257812,80.3076923076923,3.492269992828369
107,107,2.8361494541168213,10.031569480895996,71.0,2.8361494541168213
108,108,2.397337913513184,7.360996723175049,87.55555555555556,2.397337913513184
109,109,3.0605170726776123,10.244335174560549,62.54166666666666,3.0605170726776123
110,110,3.151164054870605,8.96955394744873,72.52272727272727,3.151164054870605
111,111,3.336987972259521,11.27561092376709,63.18,3.336987972259521
112,112,2.2523303031921387,7.284718036651611,75.69047619047619,2.2523303031921387
113,113,2.7280592918396,7.915744781494141,48.903225806451616,2.7280592918396
114,114,3.5952954292297363,10.721719741821287,63.3,3.5952954292297363
115,115,3.290501832962036,10.381366729736328,70.37209302325581,3.290501832962036
116,116,2.600715160369873,9.550755500793455,54.54385964912281,2.600715160369873
117,117,3.5380964279174805,14.197409629821776,83.36111111111111,3.5380964279174805
118,118,2.8772900104522705,10.217918395996094,55.4,2.8772900104522705
119,119,3.48435378074646,9.096429824829102,59.8235294117647,3.48435378074646
120,120,2.9167819023132324,9.211215019226074,58.61111111111112,2.9167819023132324
121,121,3.28187108039856,9.302931785583496,52.75438596491228,3.28187108039856
122,122,3.280425310134888,9.99270725250244,52.49152542372882,3.280425310134888
123,123,3.5657193660736084,11.668368339538574,51.54838709677419,3.5657193660736084
124,124,3.5033929347991943,12.29865837097168,55.10909090909091,3.5033929347991943
125,125,3.252880573272705,12.70511245727539,48.38709677419355,3.252880573272705
126,126,3.860341787338257,10.799606323242188,56.01851851851852,3.860341787338257
127,127,3.4770166873931885,11.646719932556152,43.114285714285714,3.4770166873931885
128,128,3.5666375160217285,10.069690704345703,48.46774193548387,3.5666375160217285
129,129,2.864276885986328,9.59875202178955,39.22077922077922,2.864276885986328
130,130,2.959669351577759,9.953502655029297,37.03703703703704,2.959669351577759
131,131,3.890459299087525,13.001547813415527,56.72222222222222,3.890459299087525
132,132,4.4629807472229,12.676292419433594,53.660714285714285,4.4629807472229
133,133,3.708527088165283,12.176136016845703,44.816901408450704,3.708527088165283
134,134,4.350945949554443,14.02836799621582,58.388888888888886,4.350945949554443
135,135,3.731184244155884,10.78670883178711,47.15625,3.731184244155884
136,136,3.629883527755737,13.24553680419922,53.12280701754386,3.629883527755737
137,137,3.5330066680908203,12.756322860717772,46.72058823529412,3.5330066680908203
138,138,3.2190849781036377,11.687332153320312,49.11111111111112,3.2190849781036377
139,139,4.5598626136779785,15.433303833007812,75.36585365853658,4.5598626136779785
140,140,3.67770266532898,15.4114408493042,64.33333333333333,3.67770266532898
141,141,4.708308696746826,12.319376945495604,71.08888888888889,4.708308696746826
142,142,3.881929874420166,11.176573753356934,59.31372549019608,3.881929874420166
143,143,3.938262939453125,14.494524002075195,65.3695652173913,3.938262939453125
144,144,4.829237461090088,13.28028964996338,88.51428571428572,4.829237461090088
145,145,4.473560333251953,14.357397079467772,77.15384615384616,4.473560333251953
146,146,4.072086811065674,12.988141059875488,68.20454545454545,4.072086811065674
147,147,3.8429324626922607,12.781486511230469,52.03278688524591,3.8429324626922607
148,148,3.870833396911621,11.48003101348877,58.37735849056604,3.870833396911621
149,149,3.3654768466949463,11.53499698638916,51.89655172413793,3.3654768466949463
150,150,3.987230062484741,13.693095207214355,62.224489795918366,3.987230062484741
151,151,4.040427207946777,14.635316848754885,61.96,4.040427207946777
152,152,3.319093942642212,9.438135147094728,45.20289855072464,3.319093942642212
153,153,3.564659357070923,13.95696258544922,52.71666666666667,3.564659357070923
154,154,3.7585489749908447,9.518118858337402,50.11111111111112,3.7585489749908447
155,155,4.159944534301758,11.497690200805664,69.83720930232558,4.159944534301758
156,156,4.7590651512146,12.291043281555176,78.95,4.7590651512146
157,157,4.016689777374268,11.664228439331056,65.26086956521739,4.016689777374268
158,158,4.099327087402344,14.651299476623535,73.09302325581395,4.099327087402344
159,159,4.268448829650879,15.705172538757324,83.52777777777777,4.268448829650879
160,160,4.415440082550049,14.3659029006958,79.12820512820512,4.415440082550049
161,161,3.65962553024292,14.252732276916504,66.1086956521739,3.65962553024292
162,162,4.342752933502197,12.320586204528809,75.4,4.342752933502197
163,163,4.19403886795044,13.785948753356934,67.06521739130434,4.19403886795044
164,164,4.380804538726807,12.573081970214844,62.42,4.380804538726807
165,165,5.501833915710449,13.543407440185549,79.3,5.501833915710449
166,166,5.100005626678467,11.477616310119627,82.94594594594595,5.100005626678467
167,167,5.361656665802002,15.399491310119627,98.25,5.361656665802002
168,168,5.548640251159668,13.09572982788086,111.03571428571428,5.548640251159668
169,169,5.772580623626709,17.02274513244629,111.92592592592592,5.772580623626709
170,170,4.452328681945801,14.27287769317627,82.71052631578948,4.452328681945801
171,171,4.291332721710205,15.326165199279783,77.15384615384616,4.291332721710205
172,172,5.230174541473389,13.75151824951172,89.65714285714286,5.230174541473389
173,173,4.934629917144775,12.242758750915527,82.89189189189189,4.934629917144775
174,174,4.796487808227539,12.77575969696045,103.86206896551724,4.796487808227539
175,175,5.142702579498291,10.896225929260254,91.21212121212122,5.142702579498291
176,176,5.337710380554199,14.286412239074709,97.6774193548387,5.337710380554199
177,177,6.5936384201049805,14.951350212097168,151.05,6.5936384201049805
178,178,4.863637924194336,14.67505168914795,99.41935483870968,4.863637924194336
179,179,5.032430171966553,15.185742378234863,115.74074074074076,5.032430171966553
180,180,5.277163028717041,15.10777473449707,103.6,5.277163028717041
181,181,4.992819786071777,12.09268569946289,132.45833333333334,4.992819786071777
182,182,7.08558988571167,9.399194717407228,168.83333333333334,7.08558988571167
183,183,6.402504920959473,14.024718284606934,149.33333333333334,6.402504920959473
184,184,6.533948421478272,12.217418670654297,131.29166666666666,6.533948421478272
185,185,8.018869400024414,7.78665018081665,151.35,8.018869400024414
186,186,6.148747444152832,13.421818733215332,124.04,6.148747444152832
187,187,7.680240631103516,9.055434226989746,145.57142857142858,7.680240631103516
188,188,8.44015121459961,5.299200057983398,155.95,8.44015121459961
189,189,7.6198883056640625,7.033437252044678,157.89473684210526,7.6198883056640625
190,190,7.017602920532227,13.455456733703612,152.23809523809524,7.017602920532227
191,191,7.996780395507812,10.677700996398926,150.45,7.996780395507812
192,192,7.501741409301758,12.03093433380127,137.0,7.501741409301758
193,193,7.604915142059326,16.025388717651367,143.61904761904762,7.604915142059326
194,194,7.147066116333008,11.74443244934082,168.11111111111111,7.147066116333008
195,195,8.238039016723633,6.31129264831543,151.45,8.238039016723633
196,196,8.252250671386719,8.09052848815918,179.2941176470588,8.252250671386719
197,197,7.2273406982421875,13.47978401184082,151.42857142857142,7.2273406982421875
198,198,7.810537815093994,8.818106651306152,180.94117647058823,7.810537815093994
199,199,7.05686092376709,9.611686706542969,144.52380952380952,7.05686092376709
200,200,7.416360378265381,15.94103717803955,155.9,7.416360378265381
201,201,8.694780349731445,6.885851860046387,188.375,8.694780349731445
202,202,7.7264723777771,8.183695793151855,156.6,7.7264723777771
203,203,7.113450527191162,8.170833587646484,140.3181818181818,7.113450527191162
204,204,8.134285926818848,9.093706130981444,153.35,8.134285926818848
205,205,8.87417221069336,1.9892878532409668,183.94117647058823,8.87417221069336
206,206,6.641373634338379,11.04428005218506,158.75,6.641373634338379
207,207,7.715779781341553,9.72093391418457,151.4,7.715779781341553
208,208,8.742413520812988,5.635807514190674,180.11764705882354,8.742413520812988
209,209,8.62796688079834,7.631675243377685,155.45,8.62796688079834
210,210,8.812507629394531,2.971499443054199,163.47368421052633,8.812507629394531
211,211,8.639039993286133,5.274697780609131,167.11111111111111,8.639039993286133
212,212,8.180198669433594,9.67475414276123,172.0,8.180198669433594
213,213,8.505459785461426,8.692625045776367,168.05555555555554,8.505459785461426
214,214,8.838225364685059,6.639557838439941,155.75,8.838225364685059
215,215,8.626866340637207,9.030401229858398,176.66666666666666,8.626866340637207
216,216,8.320670127868652,10.30589771270752,167.44444444444446,8.320670127868652
