#{"t_start": 1748624908.2141957, "env_id": "CultivateEnv"}
r,l,t
8.880532,13,2.008461
9.049153,13,2.029803
7.786761,11,2.04801
7.781883,11,2.066107
6.658857,10,2.084995
6.784225,10,4.166941
7.267329,11,4.184755
6.70443,10,4.200547
8.278799,12,4.220643
8.900356,13,4.242105
9.059181,13,6.328166
8.349388,12,6.348789
9.013843,13,6.369482
7.945178,12,6.38935
8.091274,12,6.408378
7.436048,11,8.524245
6.771416,10,8.542981
8.754275,13,8.56649
7.448074,11,8.583602
8.01873,12,8.604942
9.957265,14,10.703806
8.301086,12,10.725791
7.574518,11,10.745928
7.180885,11,10.766247
9.041245,13,10.788245
7.444391,11,12.856427
7.03427,10,12.872359
7.847306,11,12.890239
8.039732,12,12.910128
6.807168,10,12.92817
8.091918,12,15.044269
7.894013,12,15.065782
7.313998,11,15.084516
7.412326,11,15.104217
7.699783,11,15.123765
8.849676,13,17.186774
8.354254,12,17.206918
7.422964,11,17.225475
9.087067,13,17.246405
8.988459,13,17.267689
9.858819,14,19.326719
8.197081,12,19.349742
6.773443,10,19.366702
8.871768,13,19.387817
8.140896,12,19.407257
10.172386,14,21.476549
7.581747,11,21.495656
8.136319,12,21.515535
8.193985,12,21.534262
7.58766,11,21.553679
27.667623,84,23.904479
27.096305,84,24.047607
26.910623,84,24.181398
30.964143,84,24.307397
27.164586,84,24.435844
28.04469,84,26.694054
30.46091,84,26.836141
29.959806,84,26.968882
28.671165,84,27.099169
26.259712,84,27.23344
37.201503,84,29.419985
40.483567,84,29.548579
37.626864,84,29.674925
37.698208,84,29.806023
36.833898,84,29.937804
32.216962,84,32.072448
34.667757,84,32.22025
35.06608,84,32.369871
37.336845,84,32.501705
35.681717,84,32.631303
43.68352,84,34.775104
44.386426,84,34.915678
46.150293,84,35.043764
45.708462,84,35.174013
45.290703,84,35.306729
46.597677,84,37.480206
47.841835,84,37.618896
48.614097,84,37.757685
47.42479,84,37.896788
48.067852,84,38.022475
48.83858,84,40.154877
48.367263,84,40.295394
51.42806,84,40.429091
51.88204,84,40.558762
53.773305,84,40.685232
46.931525,84,42.862028
47.441843,84,42.992211
46.342429,84,43.122448
46.307999,84,43.248781
47.044626,84,43.377872
49.842348,84,45.515684
50.072654,84,45.663097
46.934698,84,45.811983
50.102439,84,45.948995
51.100955,84,46.080693
47.425127,84,48.184447
48.715443,84,48.326132
50.752026,84,48.455034
49.834829,84,48.581764
47.199966,84,48.706601
47.696866,84,50.855226
46.617439,84,50.984401
46.385148,84,51.109792
48.400761,84,51.233518
48.826335,84,51.358945
51.020978,84,53.480687
50.788687,84,53.631416
51.257361,84,53.779354
51.133597,84,53.915304
49.80032,84,54.044875
48.787534,84,56.136174
49.991213,84,56.274647
48.368284,84,56.410972
50.673434,84,56.533155
49.981096,84,56.654397
52.392959,84,58.751641
53.792743,84,58.895775
53.500417,84,59.021802
53.550044,84,59.147817
52.900119,84,59.273274
48.622159,84,61.432892
51.052236,84,61.575654
49.034895,84,61.716809
50.990516,84,61.871798
51.603133,84,62.00847
53.454803,84,64.125535
53.702303,84,64.263826
52.809833,84,64.393054
53.3311,84,64.52302
53.719727,84,64.649204
53.424884,84,66.803579
52.610694,84,66.937757
52.475765,84,67.067872
52.01195,84,67.204306
52.60917,84,67.337701
51.639679,84,69.475024
51.71797,84,69.609696
51.825118,84,69.746295
51.781995,84,69.885533
51.983882,84,70.010877
53.429537,84,72.118746
52.126124,84,72.263618
52.364219,84,72.400197
53.241428,84,72.524619
53.115552,84,72.655067
51.736184,84,74.781759
51.675672,84,74.913948
51.519451,84,75.041345
52.038736,84,75.170026
51.900285,84,75.299292
53.013433,84,77.471642
54.22768,84,77.613822
53.654469,84,77.754117
53.235085,84,77.889882
51.927477,84,78.012474
52.923535,84,80.128064
52.864346,84,80.267953
52.287962,84,80.406445
54.4728,84,80.532936
54.740216,84,80.660352
54.667707,84,82.734713
52.93533,84,82.863056
54.415173,84,82.985715
52.530082,84,83.105799
53.136611,84,83.225629
54.420129,84,85.338399
54.62192,84,85.465416
53.638503,84,85.58814
53.746425,84,85.710688
53.075948,84,85.832927
53.977438,84,87.910524
52.327408,84,88.034086
53.383055,84,88.156852
54.515871,84,88.277612
55.31097,84,88.406193
53.079502,84,90.496501
53.536742,84,90.631593
55.024265,84,90.766936
55.939333,84,90.904232
54.157538,84,91.031494
52.957353,84,93.204943
54.307898,84,93.344113
52.799422,84,93.470816
56.478567,84,93.595816
53.289249,84,93.719703
53.549787,84,95.823108
55.273092,84,95.949524
54.964293,84,96.075419
53.737574,84,96.198029
54.272203,84,96.324387
53.78359,84,98.451956
53.73337,84,98.589135
51.979121,84,98.726427
52.459492,84,98.855696
52.563371,84,98.982747
52.487368,84,101.05332
54.824835,84,101.194485
53.342563,84,101.330131
52.291975,84,101.457191
55.052764,84,101.580917
54.692006,84,103.7055
53.520116,84,103.851064
51.80818,84,103.97963
55.615515,84,104.109346
53.101583,84,104.237932
54.738834,84,106.342173
52.975507,84,106.464826
53.739579,84,106.593063
52.830344,84,106.717383
54.58638,84,106.843525
53.237925,84,108.897038
53.061015,84,109.022654
53.950336,84,109.152077
54.056778,84,109.275388
53.126227,84,109.398304
52.402781,84,111.473356
54.316028,84,111.6178
54.370589,84,111.763063
51.842944,84,111.894847
53.323199,84,112.021771
53.409043,84,114.142552
51.560502,84,114.288035
52.368134,84,114.427621
53.577639,84,114.554961
53.241535,84,114.683646
53.092858,84,116.77648
52.483669,84,116.90169
52.595176,84,117.022865
53.942916,84,117.143231
53.819131,84,117.273873
52.317343,84,119.34078
51.893442,84,119.463969
53.11302,84,119.587094
52.999425,84,119.711798
50.886142,84,119.833987
53.39335,84,121.939815
53.008768,84,122.084893
52.594556,84,122.229203
53.194262,84,122.369604
52.969787,84,122.498087
54.527591,84,124.583158
54.422066,84,124.708288
54.36104,84,124.844336
52.898874,84,124.972621
54.324928,84,125.102131
51.905258,84,127.208044
51.13118,84,127.339653
52.790498,84,127.461983
54.561033,84,127.58227
52.322313,84,127.706743
52.126635,84,129.795686
54.354002,84,129.922738
53.013575,84,130.045353
52.829153,84,130.172113
53.93589,84,130.299092
54.649449,84,132.411153
53.409948,84,132.546535
52.950184,84,132.674804
53.710842,84,132.806981
54.396191,84,132.92979
51.60494,84,135.024503
53.550926,84,135.156313
53.752174,84,135.289005
51.20649,84,135.41463
53.049311,84,135.539806
52.127015,84,137.617819
52.444012,84,137.753541
52.783158,84,137.886429
53.747872,84,138.013545
53.404203,84,138.142542
53.640514,84,140.22869
55.251081,84,140.368575
53.256335,84,140.497331
53.884275,84,140.628564
54.345304,84,140.757719
53.223218,84,142.812133
53.978384,84,142.930378
52.8793,84,143.05409
53.209908,84,143.17385
54.608652,84,143.295215
52.281701,84,145.330434
54.47487,84,145.45102
51.722082,84,145.575297
54.428459,84,145.700523
52.197935,84,145.823783
53.601442,84,147.894601
54.235034,84,148.023678
53.591852,84,148.150991
53.347513,84,148.279217
53.287395,84,148.411672
