episode,timestep,reward,std
3,288,40.3187411904335,2.0112388111375283
6,576,43.4330317556858,1.5713015373837713
10,864,45.79875531494618,1.5527974076005295
13,1152,46.85806466937065,1.7002501901210714
17,1440,47.82564454972744,1.2522003177916914
20,1728,48.974134443700315,1.4165740015183044
23,2016,49.870911398530005,1.7900158379029574
27,2304,51.229247914254664,1.1092208376257635
30,2592,51.677141265571116,1.398885915500461
34,2880,51.78065007776022,1.3692175546045042
37,3168,52.169989140331744,1.3069901372024044
41,3456,52.663630564510825,2.275266515325343
44,3744,53.064137981832026,1.540520500068073
47,4032,53.087212754786016,1.4632904366757045
51,4320,52.99435033351183,1.7159836828234256
54,4608,54.57188964635134,1.2527146865037568
58,4896,55.25879718065262,1.115690589538386
61,5184,53.89472071528435,1.6746119635647645
65,5472,52.44039388448,1.0312903036010612
68,5760,52.19558039456606,1.3852892767938214
71,6048,49.90699783861637,1.738471551899875
75,6336,51.3797504812479,1.6536611063265005
78,6624,51.338218581676486,1.1119424150265738
82,6912,53.72760137915611,1.2194416765397995
85,7200,54.14005725383758,1.6462923636454778
89,7488,55.39329213500023,1.2358856385621109
92,7776,54.969740477204326,1.1409918697743506
95,8064,55.87822545021773,0.7669569751287832
99,8352,56.14008869379759,0.6581661073495961
102,8640,56.18905376046896,1.0872478868933646
106,8928,55.7664098367095,0.9892274868744747
109,9216,55.92322136759758,1.0618705857000925
113,9504,55.6849303483963,0.5749926836887049
116,9792,56.499063320457935,1.0714947486649729
119,10080,56.712812619656326,0.7903443647816734
123,10368,55.927451715618375,1.7909681734111695
126,10656,54.281991954892874,2.0658322194379983
130,10944,55.160933054983616,1.5776662679668918
133,11232,56.449754098802806,0.6669445672484745
137,11520,56.16729678437114,1.7536583974500126
140,11808,56.31144088208676,0.9563722629150369
143,12096,55.45556818842888,1.743845404915067
147,12384,54.83647046685219,1.1212188771064233
150,12672,55.31984995305538,0.9858187151605605
154,12960,55.322364234924315,1.2464973775286512
157,13248,55.93782090097666,0.7202855707810584
161,13536,57.22061919867993,1.0767227036485416
164,13824,56.401102751493454,0.5960461017278496
167,14112,57.390907703340055,0.9563334502430861
171,14400,56.51330445706844,1.0333561086103709
174,14688,56.888179609179495,0.7132773637321831
178,14976,55.99978708773851,1.2485894684586205
181,15264,54.75919149369001,1.279798293776368
185,15552,54.806013849377635,1.1139128057820762
188,15840,56.8163566455245,0.9537059471669109
191,16128,56.9714571967721,0.7573589830965185
195,16416,57.626153361797336,1.3449288545989293
198,16704,56.59517087936401,2.3775352177281457
202,16992,53.72738823369146,1.8842069131076382
205,17280,52.82770528644323,1.9602346038215757
209,17568,51.52231343835592,2.3797883102540984
212,17856,52.81638600304723,1.4586396888564486
215,18144,54.8312292188406,1.1083339290875376
219,18432,54.12717981860042,1.2157366601885544
222,18720,56.504990584403274,0.9115810825499338
226,19008,56.0709319755435,1.4423494651445086
229,19296,56.17330307364464,0.9065758430585036
233,19584,56.28963900282979,1.4816036879850183
236,19872,54.751927237212655,1.9032675660066556
239,20160,54.77247920036316,1.6306825824986897
243,20448,53.707267703861,1.8312645495087865
246,20736,51.61117028668523,1.7458804518546098
250,21024,49.86936806514859,1.6852263238852039
253,21312,52.01567741855979,1.6683435875161212
257,21600,51.58680814802646,2.024339548830361
260,21888,52.95699477791786,1.3235192377978193
263,22176,53.74290816485882,2.199406106425089
267,22464,56.31791898086667,1.3297852082005421
270,22752,57.400381623208524,1.0696784563758779
274,23040,57.6875468917191,1.0769285184747845
