episode,timestep,reward,std
2,288,24.618383712689393,6.116973902459781
5,576,29.782923874072726,7.841651338851988
7,864,39.14076387308538,7.5245700928085135
10,1152,48.106416513212025,4.447311007672141
12,1440,53.17487189952285,5.257701070028974
15,1728,51.570123034417634,4.381150525944485
17,2016,52.71621219545602,3.6448650513190444
20,2304,57.70738571554423,2.004055523828907
22,2592,54.9695298923552,4.866264386984222
25,2880,57.542945070862764,5.587232425570437
27,3168,54.59853586494923,3.748037508286594
30,3456,52.18077045813202,4.431528241570721
32,3744,47.919714197814464,2.6277614723420983
35,4032,46.91079544276,6.096583550283844
37,4320,47.541850236505276,3.565072481910196
40,4608,46.09610669285059,3.385195567265709
42,4896,50.506197995245444,3.202648574436366
45,5184,53.35909488275647,5.895901631486699
47,5472,56.73307187855242,1.8328808412108877
50,5760,58.87771639600395,3.465984456818145
53,6048,62.16321846827865,4.454976037790985
55,6336,65.7465798574686,5.0326587838881105
58,6624,71.08209184236824,3.629200873025948
60,6912,70.2396908520907,5.739782175873227
63,7200,70.46089772988111,3.80222946557622
65,7488,70.61171527683734,3.7694980648814957
68,7776,74.86174535304309,5.18146955709006
70,8064,74.21094312001021,3.5608058007433865
73,8352,73.35067934345453,3.816655431314301
75,8640,74.41090127006173,4.017784813766363
78,8928,77.2695971179381,4.065603363248733
80,9216,74.93850046725944,4.294957321406903
83,9504,74.81453560777008,3.719152183576172
85,9792,71.98978664059192,4.133081634694198
88,10080,73.35907367717475,3.497492218467682
90,10368,73.44193195614965,3.374796647077565
93,10656,74.12756979119033,3.6196932362669716
95,10944,71.6111113151163,4.668444384337814
98,11232,76.27344206139443,4.174759149801199
101,11520,76.60050523657353,3.3685922924652214
103,11808,77.27772793203592,3.55659242562214
106,12096,75.99464541019873,4.633948133768345
108,12384,76.11336428940297,2.8389685903619557
111,12672,76.2067446873337,4.823415641505144
113,12960,78.33715433342381,4.15872158785382
116,13248,77.25182762930169,3.6560347771387107
118,13536,76.34418515054509,3.0771230922368615
121,13824,77.45975174858235,5.194352014698222
123,14112,78.27778943032027,3.3155973536354244
