train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,time/fps,rollout/ep_len_mean,train/loss,time/time_elapsed,train/std,train/clip_range,rollout/ep_rew_mean,train/explained_variance,time/total_timesteps,time/iterations,train/n_updates,train/clip_fraction,train/value_loss
-2.580319012701511,0.0003,0.0043644225,-0.005293220817111433,885,288.0,21.028438568115234,23,0.8845517039299011,0.2,-225.33460132394364,-0.001708984375,20480,10,90,0.030908203125,53.9945766210556
-2.5647225722670557,0.0003,0.004244795,-0.0034527688578236846,891,288.0,7.581781387329102,45,0.8783223628997803,0.2,46.45202654,0.3198743462562561,40960,20,190,0.02568359375,19.184138315916062
-2.563572369515896,0.0003,0.0029911287,-0.00356789211218711,893,288.0,12.059444427490234,68,0.8741689920425415,0.2,74.31260246,0.7522235065698624,61440,30,290,0.018310546875,27.985659795999528
-2.474491223692894,0.0003,0.002596015,-0.002223083144053817,897,288.0,6.8204426765441895,91,0.8416270017623901,0.2,83.53597134,0.8932053744792938,81920,40,390,0.03505859375,15.398947358131409
-2.4577088594436645,0.0003,0.0062691523,-0.002764463468338363,887,288.0,6.9767889976501465,115,0.8322653770446777,0.2,87.92281524999999,0.8868235945701599,102400,50,490,0.032763671875,16.12165539264679
-2.426429109275341,0.0003,0.0056685773,-0.0005707164731575176,888,288.0,4.303416728973389,138,0.8196636438369751,0.2,86.78561446000002,0.9191131144762039,122880,60,590,0.033154296875,8.028960099816322
-2.3624833419919016,0.0003,0.003935701,-0.006728348921751603,891,288.0,2.49790620803833,160,0.79166579246521,0.2,88.98152732999999,0.9355378895998001,143360,70,690,0.042626953125,8.137231494486333
-2.3543039456009867,0.0003,0.0066829193,-0.0030200751934899017,892,288.0,2.3153717517852783,183,0.7876479029655457,0.2,90.80258249000002,0.9435787089169025,163840,80,790,0.032666015625,4.565199479460716
-2.243729692697525,0.0003,0.0057803085,-0.0036489797086687757,893,288.0,2.730274200439453,206,0.7516323328018188,0.2,91.29046613000003,0.9285755902528763,184320,90,890,0.082177734375,4.469520148634911
-2.2104757755994795,0.0003,0.0058214753,-0.004307599645107985,894,288.0,41.14165496826172,228,0.7403562068939209,0.2,86.51190441,0.4281351566314697,204800,100,990,0.057177734375,95.45548679828644
-2.1641732677817345,0.0003,0.0027037049,-0.003918418093235232,896,288.0,4.398963928222656,251,0.7201233506202698,0.2,79.23768352,0.9511427506804466,225280,110,1090,0.04306640625,7.3240897580981255
-2.106575283408165,0.0003,0.01059809,-0.0023746883816784248,897,288.0,1.4495508670806885,273,0.6967836022377014,0.2,85.74198407999998,0.9252325147390366,245760,120,1190,0.063623046875,4.315527421236038
-2.0750104919075967,0.0003,0.0038391952,-0.001192225984414108,898,288.0,1.5767290592193604,296,0.6839935779571533,0.2,91.69621987000001,0.9518595263361931,266240,130,1290,0.055517578125,4.465871460735798
-1.9992334835231305,0.0003,0.0047866735,-0.004067307041259483,898,288.0,9.575384140014648,319,0.6592191457748413,0.2,91.81465527,0.7298719584941864,286720,140,1390,0.053173828125,18.882926431298255
-1.91240076944232,0.0003,0.005505849,-0.004528790171025321,899,288.0,2.6444332599639893,341,0.6341646909713745,0.2,89.43911296999998,0.8970933258533478,307200,150,1490,0.065869140625,5.657621166855097
-1.8812701672315597,0.0003,0.004973975,-0.0035209056921303274,899,288.0,4.920675754547119,364,0.623895525932312,0.2,87.98055518999999,0.918316513299942,327680,160,1590,0.053125,9.202736331522464
-1.876362034678459,0.0003,0.0067084692,-0.0009220508887665346,899,288.0,1.7708009481430054,387,0.6191502809524536,0.2,91.05035361,0.9555882327258587,348160,170,1690,0.05283203125,8.113503123819829
-1.8289118751883506,0.0003,0.003756476,-0.0015787287848070264,899,288.0,3.0240678787231445,409,0.6051294803619385,0.2,93.52426196,0.9184919819235802,368640,180,1790,0.0404296875,6.076038762927055
-1.7732262663543223,0.0003,0.0050491923,-0.0030911087058484556,899,288.0,3.7191662788391113,432,0.5898154377937317,0.2,91.31330541000001,0.9518829435110092,389120,190,1890,0.04013671875,9.649957624077796
-1.6890148207545281,0.0003,0.007181619,-0.0035967381263617426,899,288.0,2.271731376647949,455,0.5672963857650757,0.2,91.86284827999998,0.9119381457567215,409600,200,1990,0.07724609375,5.40892963707447
-1.618988737463951,0.0003,0.010453675,-0.003683227821602486,900,288.0,1.3697319030761719,477,0.5452855229377747,0.2,95.81378663000001,0.9388366490602493,430080,210,2090,0.0888671875,5.078007313609123
-1.5584969431161881,0.0003,0.012859322,-0.0038017291022697463,900,288.0,1.8825457096099854,500,0.5300774574279785,0.2,89.79552502,0.9495602808892727,450560,220,2190,0.0873046875,4.064807575941086
-1.4337978154420852,0.0003,0.0102768205,-0.0034830031043384226,901,288.0,2.158461809158325,522,0.49687430262565613,0.2,98.63567424000001,0.9402044750750065,471040,230,2290,0.1134765625,5.965779292583465
-1.360939472168684,0.0003,0.008021941,-0.0031586187484208494,901,288.0,2.8866159915924072,545,0.47747719287872314,0.2,100.46519247999998,0.9064169153571129,491520,240,2390,0.0677734375,6.118387472629547
-1.3127253077924252,0.0003,0.00919976,-0.0023504134413087742,901,288.0,3.100987195968628,568,0.46645742654800415,0.2,102.95819293999999,0.8836786597967148,512000,250,2490,0.064111328125,6.218178011476994
-1.2393817223608494,0.0003,0.007941935,-0.004949279018910601,901,288.0,2.689584732055664,590,0.45072025060653687,0.2,102.25179070999998,0.8531983494758606,532480,260,2590,0.094873046875,8.071631775796414
-1.2384650230407714,0.0003,0.006933685,-0.002129869759664871,901,288.0,2.888702154159546,613,0.45193782448768616,0.2,107.62300126999999,0.9658054113388062,552960,270,2690,0.058984375,7.378423289209604
-1.1912050917744637,0.0003,0.0064127278,-0.0021404586150310934,900,288.0,2.6100592613220215,636,0.4383400082588196,0.2,107.59481716000002,0.894771046936512,573440,280,2790,0.06064453125,7.30909646898508
-1.095863077789545,0.0003,0.008024958,-0.004121462890179828,900,288.0,2.123220443725586,659,0.4157516658306122,0.2,109.51869972,0.9150520637631416,593920,290,2890,0.085107421875,4.954912538826465
-1.0024623788893223,0.0003,0.0104437275,-0.0010580221947748213,900,288.0,3.8266191482543945,682,0.40371572971343994,0.2,109.16992656999999,0.908098891377449,614400,300,2990,0.07412109375,5.682790489494801
-0.9797173611819744,0.0003,0.008329937,-0.005676044925348833,900,288.0,2.7214040756225586,704,0.3949488401412964,0.2,111.71387211,0.860239177942276,634880,310,3090,0.10185546875,7.582563199102879
-0.8740589305758476,0.0003,0.005624138,-0.00040242241811938584,901,288.0,3.666998863220215,727,0.37342506647109985,0.2,105.38320971000002,0.9515897184610367,655360,320,3190,0.081689453125,8.28445096462965
-0.7917622812092304,0.0003,0.01300911,-0.0035102140798699112,901,288.0,4.185873031616211,749,0.358073890209198,0.2,107.82674641000001,0.9374980181455612,675840,330,3290,0.09072265625,11.009603387117386
-0.7625427022576332,0.0003,0.005760112,-0.00035651253419928254,901,288.0,3.272693634033203,772,0.35297954082489014,0.2,108.24235445999999,0.9059026464819908,696320,340,3390,0.06328125,6.642449551820755
-0.668285571038723,0.0003,0.008083498,-0.0003960822155931965,902,288.0,3.061326742172241,794,0.337398499250412,0.2,110.04784604999999,0.9076348394155502,716800,350,3490,0.086328125,6.297228780388832
-0.6577597372233868,0.0003,0.006649277,-8.378542843274772e-05,902,288.0,2.547677755355835,816,0.33629339933395386,0.2,111.36952365999997,0.8939091488718987,737280,360,3590,0.0576171875,6.685107381641865
-0.6512240879237652,0.0003,0.009740269,-0.006565320093068294,902,288.0,2.488696336746216,839,0.33484214544296265,0.2,113.96052431,0.9236074686050415,757760,370,3690,0.1064453125,5.3000012502074245
-0.5733200088143349,0.0003,0.0067463918,-0.004301746271084994,902,288.0,3.796201229095459,861,0.3216896653175354,0.2,113.05605632999999,0.9103463292121887,778240,380,3790,0.086328125,7.084337176382542
-0.5615796647965908,0.0003,0.0072160996,-0.002684846875490621,903,288.0,4.412837028503418,884,0.3208808898925781,0.2,112.67044012000001,0.9424385726451874,798720,390,3890,0.055029296875,6.298791594803333
