episode,timestep,reward,std
2,288,62.55956057012081,3.1054046494497363
5,576,61.31788069456816,1.7057926546992868
7,864,62.066874539852144,2.402615422606901
10,1152,61.659310807287696,2.605796424572462
12,1440,61.42740408778191,1.381012246385099
15,1728,63.19410376027226,1.74550284297451
17,2016,65.19907256215811,1.8681717674879863
20,2304,66.50374024659395,1.364653260998406
22,2592,69.04257092624903,1.707493679275161
25,2880,69.91251972690225,1.94047992852198
27,3168,70.91456479728222,2.282371429063356
30,3456,72.53784234449267,2.006046376364325
32,3744,73.57731446549296,1.7027587162433264
35,4032,74.47560770213605,1.274610661999405
37,4320,75.77431511878967,1.3097744473861377
40,4608,75.58052817210555,1.6803225214858688
42,4896,76.38649150654673,0.8568684704851196
45,5184,75.72726346477866,1.7252319564309722
47,5472,76.58235762417317,1.1622400896716165
50,5760,76.28406282439828,1.0517695358485697
53,6048,76.6749297246337,1.4395812946951316
55,6336,76.55933782979847,1.4594100450865675
58,6624,76.43077488914132,1.0851294901905806
60,6912,76.78458397984505,1.630699728235228
63,7200,75.58358910530805,1.6595773855090346
65,7488,75.99425862506033,1.957415519247622
68,7776,77.32666661515832,1.1401991483318377
70,8064,77.98207710310817,1.2091091767205155
73,8352,75.93264840990305,1.704774422576191
75,8640,75.3464280322194,2.916315899194225
78,8928,73.97003341019153,2.4461063127810196
80,9216,73.24084264039993,2.257293365256978
83,9504,70.99830767512321,2.4992014650940355
85,9792,67.62527680285275,2.6012952884525804
88,10080,66.52121369987726,3.130818162530699
90,10368,69.25240414142608,1.4319178572461553
93,10656,71.176997416839,2.3757069615707955
95,10944,71.5714020587504,2.083867705429258
98,11232,73.16317228972912,2.535419846639676
101,11520,75.26415306851268,2.468378979997605
103,11808,76.08880964666605,1.502345326375278
106,12096,76.13342544063926,1.2110623276328323
108,12384,77.84302526675165,1.2546407593481226
111,12672,77.53804854936898,1.9765973843570228
113,12960,77.48983801491559,1.1579225284854833
116,13248,77.64840798042715,0.6813701208520375
