,mean_episode_rewards,std_episode_rewards,episodes,Q_values_policy,Q_values_target,steps,action_randomness
0,-2.1328670978546143,2.6582443714141846,0,2.3377552032470703,0.850373387336731,143.0,0.951048951048951
1,-2.5034964084625244,2.85028338432312,1,0.6746869087219238,0.5029956102371216,143.0,0.9300699300699301
2,-2.237762212753296,2.963550090789795,2,0.6176300048828125,0.33367419242858887,143.0,0.9300699300699301
3,-3.3636362552642822,2.6800100803375244,3,0.5312705039978027,0.2540562152862549,143.0,0.965034965034965
4,-3.013986110687256,2.975390911102295,4,0.36040061712265015,0.21204014122486115,143.0,0.951048951048951
5,-3.7482516765594482,2.9243814945220947,5,-0.31293100118637085,0.17188069224357605,143.0,0.9370629370629371
6,-2.076923131942749,2.5421671867370605,6,-0.08491186797618866,0.1385369896888733,143.0,0.9370629370629371
7,-2.4895105361938477,2.5743956565856934,7,-0.11137031018733978,0.10603474080562592,143.0,0.9440559440559441
8,-3.1748251914978027,2.801884174346924,8,-0.7033511400222778,0.05527281016111374,143.0,0.965034965034965
9,-2.090909004211426,2.60958194732666,9,-0.1823611855506897,0.0023526838049292564,143.0,0.9370629370629371
10,-2.7202796936035156,2.8417606353759766,10,-0.1796601414680481,-0.09199977666139603,143.0,0.8951048951048951
11,-2.8881118297576904,2.8212599754333496,11,-0.5667171478271484,-0.14698074758052826,143.0,0.9300699300699301
12,-3.524475574493408,3.266340732574463,12,-0.7275911569595337,-0.24675440788269043,143.0,0.9790209790209791
13,-2.300699234008789,2.76601505279541,13,-0.6584229469299316,-0.31387874484062195,143.0,0.9090909090909091
14,-2.916083812713623,2.819751739501953,14,-0.8310383558273315,-0.32550865411758423,143.0,0.951048951048951
15,-1.9580419063568115,2.678257703781128,15,-0.5883256196975708,-0.40014439821243286,143.0,0.9020979020979021
16,-1.9020979404449463,2.7768137454986572,16,-0.8044533729553223,-0.5124178528785706,143.0,0.9300699300699301
17,-3.139860153198242,2.5791022777557373,17,-0.6444766521453857,-0.5187647342681885,143.0,0.9440559440559441
18,-3.0279719829559326,2.970587968826294,18,-0.38775503635406494,-0.536415696144104,143.0,0.916083916083916
19,-2.139860153198242,2.8447017669677734,19,-0.5777688026428223,-0.5525354743003845,143.0,0.986013986013986
20,-1.8951048851013184,2.516278028488159,20,-0.5019561052322388,-0.49197661876678467,143.0,0.9300699300699301
21,-3.7412588596343994,2.8301899433135986,21,-0.6094420552253723,-0.5868970155715942,143.0,0.951048951048951
22,-2.167832136154175,2.51981258392334,22,-0.7992520332336426,-0.5227804183959961,143.0,0.9090909090909091
23,-2.223776340484619,2.854072093963623,23,-0.6438866853713989,-0.6881997585296631,143.0,0.9230769230769231
24,-1.8391607999801636,2.396531105041504,24,-0.6336148977279663,-0.5981872081756592,143.0,0.9090909090909091
25,-2.447552442550659,2.659402847290039,25,-0.7897785902023315,-0.7932679653167725,143.0,0.8951048951048951
26,-3.2517483234405518,2.4105494022369385,26,-0.6674059629440308,-0.7394509315490723,143.0,0.9370629370629371
27,-3.2727272510528564,3.0409371852874756,27,-0.8556559085845947,-0.5677756071090698,143.0,0.8811188811188811
28,-2.4265735149383545,2.4394471645355225,28,-0.457905650138855,-0.600287914276123,143.0,0.9370629370629371
29,-2.2867133617401123,2.87410044670105,29,-0.5328596830368042,-0.6247158050537109,143.0,0.8671328671328671
30,-2.0489511489868164,2.9902608394622803,30,-0.9641814231872559,-0.8743854761123657,143.0,0.951048951048951
31,-3.0979020595550537,2.7387781143188477,31,-1.0591273307800293,-0.733543872833252,143.0,0.9090909090909091
32,-1.7692307233810425,2.5050783157348633,32,-1.0541560649871826,-0.8673146963119507,143.0,0.9440559440559441
33,-3.0979020595550537,2.95257306098938,33,-0.9025163054466248,-0.7428778409957886,143.0,0.9440559440559441
34,-3.3286712169647217,3.257645606994629,34,-1.2035784721374512,-0.8985741138458252,143.0,0.8531468531468531
35,-2.2587411403656006,2.7928812503814697,35,-1.1562975645065308,-0.948520302772522,143.0,0.9440559440559441
