,mean_episode_rewards,std_episode_rewards,episodes,steps
0,-16.617194597151556,37.289983954691714,0,6.0
1,-16.665566676246417,37.26829161801028,1,6.0
2,-24.99999999999633,43.30127018922405,2,4.0
3,-12.408895150272308,33.106549967797235,3,8.0
4,-14.283906681097827,34.99344880445245,4,7.0
5,-14.140470424027798,35.05280439453679,5,7.0
6,-13.998956500372184,35.11238264283708,6,7.0
7,-14.227019205740504,35.016790344981594,7,7.0
8,-19.999999745937043,40.000000127031484,8,5.0
9,-14.164975133285648,35.04241701324518,9,7.0
10,-10.861243442683518,31.516435010892117,10,9.0
11,-19.961955821877517,40.01906653158515,11,5.0
12,-10.912393758695382,31.498126297926444,12,9.0
13,-19.997959100703387,40.00102062959452,13,5.0
14,-14.192907974202466,35.030978077843855,14,7.0
15,-24.999999999999993,43.30127018922193,15,4.0
16,-12.439658612205957,35.934797003476106,16,7.0
17,-24.999999576798867,43.30127043355722,17,4.0
18,-24.797207039160682,43.41961564773239,18,4.0
19,-8.77686446272416,28.84876476189179,19,11.0
20,-16.614968681176602,37.29098037295398,20,6.0
21,-16.543748555301757,37.32374161149794,21,6.0
22,-16.618148512732294,37.289573847608935,22,6.0
23,-12.360007773591512,33.12616964950482,23,8.0
24,-19.84691699586235,40.07692637972039,24,5.0
25,-9.085599481249352,28.749661123970355,25,11.0
26,-24.9999997375442,43.30127034075086,26,4.0
27,-14.250505739046622,35.007176366162355,27,7.0
28,-16.3843456315421,37.39597695282935,28,6.0
29,-9.758041466552953,30.082837423341672,29,10.0
30,-13.89755867836595,35.15369829181718,30,7.0
31,-12.249942510407909,33.16738364519265,31,8.0
32,-14.185384993212981,35.03390193001726,32,7.0
33,-16.66663422807724,37.267814132039184,33,6.0
34,-12.359251960059032,33.12648892362762,34,8.0
35,-16.52796904980076,37.330619786427455,35,6.0
36,-14.168294252237462,35.04131545677248,36,7.0
37,-10.903136139192407,31.50139707555598,37,9.0
38,-12.497356153264471,33.07289124753363,38,8.0
39,-19.996028486856805,40.00198645843815,39,5.0
40,-19.969190055527115,40.01544945127116,40,5.0
41,-24.99999999999999,43.30127018922194,41,4.0
42,-9.779024852347264,30.075212739389112,42,10.0
43,-19.834670638337805,40.08394328966431,43,5.0
44,-12.49327983506667,33.074435106672915,44,8.0
45,-19.800796003206294,40.10145743972409,45,5.0
46,-19.879396191634903,40.060982682018185,46,5.0
47,-10.972842241162478,31.476513590391804,47,9.0
48,-8.759860302852227,28.855444697784847,48,11.0
49,-14.206551036878135,35.02555050999888,49,7.0
50,-7.6151894055302956,26.67001260172504,50,13.0
51,-16.417852119990783,37.37979254361991,51,6.0
52,-16.423774271433068,37.37785006573304,52,6.0
53,-14.11034311999457,35.06533571248781,53,7.0
54,-11.013067808867405,31.462120552501737,54,9.0
55,-14.132894674458127,35.05579935972471,55,7.0
56,-24.999999875170477,43.301270261292295,56,4.0
57,-7.993151545388638,27.742849786782838,57,12.0
58,-10.78462669196981,31.544334083534974,58,9.0
59,-19.905144510343646,40.04758947507373,59,5.0
60,-14.14270968159546,35.05164249226705,60,7.0
61,-14.079003133489918,35.07852892381454,61,7.0
62,-33.33333333333331,47.140452079103184,62,3.0
63,-8.795868859755565,28.84323905262765,63,11.0
64,-16.503069183547712,37.34252713602434,64,6.0
65,-19.990063090271853,40.00497294339717,65,5.0
66,-16.475147084465206,37.35392894512655,66,6.0
67,-9.014355372523282,28.77257641278845,67,11.0
68,-16.50345539399234,37.34249969003646,68,6.0
69,-11.03817315756812,31.45304560900488,69,9.0
70,-14.075912640490104,35.07923279462795,70,7.0
71,-14.285661596628177,34.992732121648345,71,7.0
72,-8.972975187716244,28.78633468674898,72,11.0
73,-9.855361349134714,30.048740579887973,73,10.0
74,-12.377559733443713,33.11868810467844,74,8.0
75,-19.999999894875703,40.00000005256215,75,5.0
76,-19.989828551136974,40.00509043996463,76,5.0
77,-16.345725580037044,37.41380671548143,77,6.0
78,-16.482012432145115,37.35171367236427,78,6.0
79,-7.811356362955844,27.798633419059065,79,12.0
80,-10.953244051988001,31.483556168133585,80,9.0
81,-14.215250540541321,35.0216621046754,81,7.0
82,-19.999999890554356,40.00000005472282,82,5.0
83,-24.905122645678038,43.35632448505279,83,4.0
84,-8.796152934919826,30.541234684817983,84,10.0
85,-14.160245371473366,35.044294024974356,85,7.0
86,-19.859913523159555,40.07037023404299,86,5.0
87,-14.185186758561729,35.03425378936584,87,7.0
88,-16.498998582867646,37.34450182672559,88,6.0
89,-12.298500051421813,33.148977167842226,89,8.0
90,-24.99999999657774,43.30127019119777,90,4.0
91,-19.9937877525005,40.00310724856408,91,5.0
92,-19.999999930403295,40.000000034798354,92,5.0
93,-16.64230885121009,37.278707247791374,93,6.0
94,-19.836350932427557,40.08307731165501,94,5.0
95,-8.240214080000863,27.666849681066363,95,12.0
96,-19.999980476441277,40.000009761793265,96,5.0
97,-19.796834756972693,40.102236218879746,97,5.0
98,-10.85920217858847,31.517236357960495,98,9.0
99,-19.996340320839813,40.00183043204254,99,5.0
100,-11.102116320575814,31.43015676773306,100,9.0
101,-24.999999999999734,43.30127018922209,101,4.0
102,-19.64274095789821,40.18061492646904,102,5.0
103,-19.978605795900535,40.01070528695725,103,5.0
104,-24.946723285241355,43.33211685301029,104,4.0
105,-3.990734645648913,22.14568179750399,105,20.0
106,-9.853119739766827,30.05010462302457,106,10.0
107,-5.567617348182822,23.61100698499866,107,17.0
108,-8.961915127610414,28.78970392542843,108,11.0
109,-14.21342487091737,35.02233803393256,109,7.0
110,-16.666665546807028,37.26780012581303,110,6.0
111,-8.911799989844239,28.805816653273318,111,11.0
112,-14.108427841623355,35.06576936091941,112,7.0
113,-19.999997599589502,40.00000120020552,113,5.0
114,-16.38047007632657,37.39776724212646,114,6.0
115,-19.9831130331661,40.008456847751404,115,5.0
116,-9.63133184481462,32.09712976846032,116,9.0
117,-7.636840231175356,26.66321163993473,117,13.0
118,-10.731424830952328,31.56362541191077,118,9.0
119,-8.947826141212666,28.794726312734106,119,11.0
120,-19.802142113273767,40.100759422138275,120,5.0
121,-5.514861786039413,25.388897344046306,121,15.0
122,-10.876286999591363,31.51143107801284,122,9.0
123,-9.796610614025067,30.069194966146174,123,10.0
124,-19.999831997727714,40.00008400210438,124,5.0
125,-6.218144694758482,25.0673841714562,125,15.0
126,-24.999999247500277,43.301270623677866,126,4.0
127,-19.997258164172205,40.00137124704277,127,5.0
128,-9.71116022780008,30.09846720579561,128,10.0
129,-11.028366536456138,31.45645364929508,129,9.0
130,-12.4684162882246,33.08388354112637,130,8.0
131,-8.280241823167483,27.654616657636936,131,12.0
132,-11.004604984150934,31.46508904610033,132,9.0
133,-24.970144427974272,43.31853474745919,133,4.0
134,-10.964550757468738,31.47985781777367,134,9.0
135,-12.27183348922166,33.15989835348,135,8.0
136,-16.551305811095894,37.32017192994024,136,6.0
