,mean_rewards,std_rewards,values_q_net,values_target_net
0,-0.83117354,0.51458704,0.9513888888888888,0.028996391221880913
1,-0.85169536,0.5646233,0.9375,-0.2048494964838028
2,-0.76692325,0.57108897,0.9583333333333334,-0.5069894194602966
3,-0.781697,0.57476234,0.9305555555555556,-0.8976252675056458
4,-0.68445337,0.5751509,0.9375,-1.1641887426376343
5,-0.76755893,0.5632384,0.9131944444444444,-1.8351036310195923
6,-0.6916033,0.58523196,0.9131944444444444,-1.975999116897583
7,-0.7467868,0.59055805,0.9305555555555556,-2.3004207611083984
8,-0.77807873,0.59435123,0.9479166666666666,-2.8307645320892334
9,-0.7902031,0.5374611,0.9201388888888888,-2.543976068496704
10,-0.7647649,0.5771103,0.9409722222222222,-2.9496164321899414
11,-0.7601445,0.5356446,0.9375,-3.07246732711792
12,-0.76752067,0.58745956,0.9131944444444444,-3.381574869155884
13,-0.75483567,0.5331461,0.9097222222222222,-4.526601791381836
14,-0.80512553,0.5497421,0.9618055555555556,-4.0282301902771
15,-0.6965975,0.55950516,0.8958333333333334,-4.04346227645874
16,-0.7641272,0.58609694,0.8888888888888888,-4.360046863555908
17,-0.72618306,0.5448545,0.9305555555555556,-4.762877464294434
18,-0.7743213,0.5249375,0.9131944444444444,-4.110705375671387
19,-0.7721894,0.5421517,0.8819444444444444,-4.8528947830200195
20,-0.8452308,0.5586731,0.9305555555555556,-4.514163017272949
21,-0.72467345,0.57410437,0.9131944444444444,-4.652717590332031
22,-0.6877738,0.59467065,0.8923611111111112,-4.478464603424072
23,-0.70872283,0.5695933,0.9097222222222222,-5.271312236785889
24,-0.8399385,0.5946757,0.8819444444444444,-5.019157409667969
25,-0.7293836,0.4888476,0.875,-4.268639087677002
26,-0.74767685,0.535235,0.8993055555555556,-4.5208539962768555
27,-0.77125907,0.57362056,0.9340277777777778,-5.258579254150391
28,-0.7130508,0.58115077,0.8923611111111112,-4.647993087768555
29,-0.7508317,0.53865695,0.9027777777777778,-4.470433235168457
30,-0.79529256,0.56793743,0.8958333333333334,-4.445883274078369
31,-0.76992416,0.5513516,0.8958333333333334,-4.500124931335449
32,-0.7932522,0.55050975,0.9375,-4.500283241271973
33,-0.7714815,0.57493407,0.8888888888888888,-4.121665000915527
34,-0.79251254,0.53851694,0.8715277777777778,-4.596030235290527
35,-0.76139426,0.5286762,0.8888888888888888,-5.4936347007751465
36,-0.6360556,0.58296543,0.8472222222222222,-4.3794264793396
37,-0.81612086,0.57502794,0.8784722222222222,-4.748445510864258
38,-0.7560189,0.55251634,0.8888888888888888,-4.200369834899902
39,-0.76899904,0.5596389,0.9166666666666666,-3.833566904067993
40,-0.7405565,0.5756545,0.8645833333333334,-4.726859092712402
41,-0.71228135,0.56205344,0.8506944444444444,-4.266227722167969
42,-0.694837,0.6095934,0.875,-4.759074687957764
43,-0.7894644,0.5336282,0.8784722222222222,-4.694511413574219
44,-0.7917385,0.5591928,0.8680555555555556,-4.052546977996826
45,-0.72945946,0.56168765,0.8576388888888888,-3.953381061553955
46,-0.6828513,0.5786159,0.875,-4.003584384918213
47,-0.785164,0.56733036,0.8854166666666666,-4.793567657470703
48,-0.71918786,0.58981305,0.8298611111111112,-5.012368202209473
49,-0.70183015,0.57585263,0.8263888888888888,-4.4028472900390625
50,-0.7000125,0.553959,0.8576388888888888,-4.664379119873047
51,-0.71579254,0.59180367,0.8368055555555556,-5.187803268432617
52,-0.66387486,0.5902549,0.8402777777777778,-4.107306003570557
53,-0.6686733,0.57727045,0.8576388888888888,-4.486974716186523
54,-0.7359006,0.5682095,0.8680555555555556,-4.472298622131348
55,-0.7261703,0.60921293,0.8611111111111112,-3.8132236003875732
56,-0.7801098,0.6163697,0.8541666666666666,-4.8159565925598145
57,-0.69876796,0.58960307,0.8159722222222222,-4.000186920166016
58,-0.74588656,0.54880565,0.8506944444444444,-4.732531547546387
59,-0.722798,0.60514486,0.8263888888888888,-4.461435317993164
60,-0.72940624,0.55666983,0.8784722222222222,-4.306424140930176
61,-0.7344932,0.54363203,0.8680555555555556,-3.902357578277588
62,-0.7293704,0.5798617,0.8645833333333334,-3.9279775619506836
63,-0.71741956,0.5686366,0.8263888888888888,-5.003292083740234
64,-0.685321,0.5854112,0.8402777777777778,-4.430895805358887
65,-0.7884076,0.63467085,0.8506944444444444,-3.709974765777588
66,-0.7361698,0.57853335,0.8298611111111112,-4.695775985717773
67,-0.8044456,0.5989516,0.8784722222222222,-3.8587379455566406
68,-0.81966996,0.59077895,0.8715277777777778,-4.112940788269043
69,-0.7472125,0.51966053,0.8194444444444444,-2.9880423545837402
70,-0.69037604,0.5903936,0.8263888888888888,-3.5963993072509766
71,-0.69100916,0.5924567,0.8159722222222222,-4.2384934425354
72,-0.70984864,0.5779972,0.8333333333333334,-3.812222957611084
73,-0.7638709,0.6231089,0.8194444444444444,-3.447366237640381
74,-0.74757886,0.58407307,0.8229166666666666,-3.691289186477661
75,-0.6049125,0.5735074,0.7673611111111112,-3.9741244316101074
76,-0.6393588,0.6089248,0.8159722222222222,-4.0723981857299805
77,-0.70537925,0.56511444,0.7951388888888888,-3.103473424911499
78,-0.74663794,0.57156193,0.8368055555555556,-3.4513492584228516
79,-0.7490825,0.6073502,0.8263888888888888,-4.514523983001709
80,-0.69862473,0.55882704,0.8125,-3.956251621246338
81,-0.6847925,0.58304584,0.8055555555555556,-3.620598793029785
82,-0.73267055,0.6078293,0.7847222222222222,-3.6025378704071045
83,-0.72955585,0.609235,0.8298611111111112,-3.8567240238189697
84,-0.68808526,0.58167577,0.8020833333333334,-3.751478672027588
85,-0.642692,0.6238295,0.8125,-3.3606131076812744
86,-0.61529446,0.62381506,0.8229166666666666,-3.6074204444885254
87,-0.79243004,0.57004994,0.8402777777777778,-4.896676063537598
88,-0.7187583,0.56056887,0.8402777777777778,-3.212635040283203
89,-0.6916513,0.5877084,0.8263888888888888,-3.5637474060058594
90,-0.6883781,0.57069886,0.7361111111111112,-3.721682548522949
91,-0.7550974,0.5479887,0.8298611111111112,-3.862873077392578
92,-0.67166173,0.5450995,0.7673611111111112,-3.6159896850585938
93,-0.6230966,0.6053976,0.8055555555555556,-3.8332674503326416
94,-0.6325216,0.5800826,0.7673611111111112,-3.3336660861968994
95,-0.72603905,0.550665,0.8090277777777778,-4.051706314086914
96,-0.66057724,0.56631476,0.7708333333333334,-3.5492727756500244
97,-0.69151103,0.6104481,0.8020833333333334,-3.789639472961426
98,-0.63676924,0.58593863,0.7743055555555556,-4.325373649597168
99,-0.6582105,0.6211842,0.7708333333333334,-3.6788554191589355
