,mean_episode_rewards,std_episode_rewards,episodes,steps
0,-143.0654010016403,149.46655049097387,0,288.0
1,-111.81133750371875,134.85234670972392,1,288.0
2,-176.89057463712334,217.6219219929431,2,288.0
3,-104.22884689883502,154.3338625906726,3,288.0
4,-94.51722796333404,158.7668016797409,4,288.0
5,-133.33628632299474,174.73494343156796,5,288.0
6,-138.53055862434687,153.0880256814585,6,288.0
7,-152.10960055833635,304.23038197749025,7,288.0
8,-175.11084916747117,150.17672122832178,8,288.0
9,-56.111687271706984,170.5597779082514,9,288.0
10,-81.4351683008618,167.50475746522037,10,288.0
11,-107.21382226951657,129.28503281223234,11,288.0
12,-78.72638923859103,168.9268770721766,12,288.0
13,-68.94031035535778,161.6000940638019,13,288.0
14,-135.72416500862906,189.80480899823874,14,288.0
15,-127.09383415353747,151.12900179356294,15,288.0
16,-102.06283369852093,148.71643559097416,16,288.0
17,-144.52574535780948,142.43715951560847,17,288.0
18,-150.08850051154548,155.52918100115926,18,288.0
19,-132.73965107563336,158.8694833261644,19,288.0
20,-58.42288807101036,170.0133785850039,20,288.0
21,-120.54575661054156,213.23895672058822,21,288.0
22,-109.1290880962144,142.13231645478228,22,288.0
23,-199.3937035708127,268.69386031650737,23,288.0
24,-94.70076803074112,137.2198286084491,24,288.0
25,-76.67170997094959,157.42616224215502,25,288.0
26,-142.39151762940077,143.39797110706363,26,288.0
27,-121.9242737130888,143.67032645685828,27,288.0
28,-105.81889082168038,146.06776752899222,28,288.0
29,-91.19480328678144,157.3269292010086,29,288.0
30,-170.99381354371022,149.53619023722567,30,288.0
31,-85.54470960575927,143.642104606683,31,288.0
32,-73.36533150935662,166.07112747476862,32,288.0
33,-119.50183044217874,154.69314471500445,33,288.0
34,-132.39907822433486,156.37883598032226,34,288.0
35,-140.57789723716476,175.50100532603352,35,288.0
36,-55.50324637848958,159.56354233440507,36,288.0
37,-104.42039160981636,159.90231931171704,37,288.0
38,-120.97134685864661,177.96221644626198,38,288.0
39,-67.13982908183662,154.47963367236014,39,288.0
40,-139.4467721286136,121.90873686834473,40,288.0
41,-139.3157105829686,138.87704073303735,41,288.0
42,-101.26644812809917,147.39605290509047,42,288.0
43,-133.3528619954241,171.47725687442235,43,288.0
44,-184.66662974948383,173.71578273825918,44,288.0
45,-66.21483541521863,160.15440096383816,45,288.0
46,-171.9695250523945,220.6909889889915,46,288.0
47,-89.11568826014562,176.30541493915163,47,288.0
48,-54.595612467263486,158.7030990895733,48,288.0
49,-138.77097331335304,118.83733854882018,49,288.0
50,-63.39072700963753,160.87924991267792,50,288.0
51,-100.66140385556929,141.667394254012,51,288.0
52,-128.23576371532803,149.89170568557753,52,288.0
53,-180.17817479575558,142.7818936386286,53,288.0
54,-167.68628955438297,263.22789966109553,54,288.0
55,-92.07172244699414,165.40250701979443,55,288.0
56,-140.91704863819257,159.43204650517484,56,288.0
57,-142.84694773320177,135.59088191101742,57,288.0
58,-102.41805036833662,151.4336468289069,58,288.0
59,-103.93483030080705,140.25653250048356,59,288.0
60,-135.29454790516624,164.76916264807633,60,288.0
61,-191.58219637754257,302.0533623299712,61,288.0
62,-150.28737945281264,171.6910185234949,62,288.0
63,-92.40782482990964,142.052010356242,63,288.0
64,-83.45336808088152,145.80754147285768,64,288.0
65,-125.10574714690864,150.1105677726658,65,288.0
66,-104.72176257604374,147.3506721474199,66,288.0
67,-71.92022607521,157.88847775232333,67,288.0
68,-98.61805395782604,167.88125827825948,68,288.0
69,-128.99883687998033,140.78585346263952,69,288.0
70,-65.59125868699994,176.37311184753187,70,288.0
71,-106.20992385584344,132.6886360464463,71,288.0
72,-153.61252660542291,180.49815028740403,72,288.0
73,-83.73954039214848,191.6481215696819,73,288.0
74,-77.40337658252854,161.48295189945824,74,288.0
75,-95.13709226212245,156.99541612482832,75,288.0
76,-106.30165758763064,155.09188488244598,76,288.0
77,-95.89184220344777,192.28917147115118,77,288.0
78,-80.26336433185132,152.2848324772836,78,288.0
79,-92.88913018968549,168.68960074808177,79,288.0
80,-122.33396574499915,164.95839910249768,80,288.0
81,-114.2565028164525,169.53511723277845,81,288.0
82,-134.39285371578933,143.38200643750028,82,288.0
83,-97.66961835039092,155.45026056237754,83,288.0
84,-146.39871033741576,148.73019216773108,84,288.0
85,-77.35925190295539,162.45739662579322,85,288.0
86,-100.47632299083845,162.47761793346234,86,288.0
87,-126.08363800408516,141.53708258032236,87,288.0
88,-123.33572270979322,121.97218792081136,88,288.0
89,-153.2875733683726,175.33373557736354,89,288.0
90,-115.45341814663834,137.9961708111746,90,288.0
91,-110.1755393691357,155.5312950286181,91,288.0
92,-58.21349303846156,160.59814778936558,92,288.0
93,-112.64770528256629,144.2098375721618,93,288.0
94,-126.56197458171118,144.46705355210312,94,288.0
95,-76.50349040714855,155.91687772334305,95,288.0
96,-154.8399675890793,166.33143661516007,96,288.0
97,-73.7351325816316,183.25311503539453,97,288.0
98,-131.94647409564413,202.71399081327843,98,288.0
99,-60.23116386200328,157.23406105327308,99,288.0
100,-120.16224076064252,142.89136371288785,100,288.0
101,-80.803031750645,168.83473165789584,101,288.0
102,-154.77109245245572,162.96593391959752,102,288.0
103,-108.06294457728063,149.91746641373228,103,288.0
104,-138.8218408411152,310.65681003205475,104,288.0
105,-64.05655835320134,159.60221863010588,105,288.0
106,-48.598757594323835,163.61683054384602,106,288.0
107,-122.64656537574943,123.9279055466142,107,288.0
108,-172.3252021327495,144.87242027948017,108,288.0
109,-119.82455386883076,138.81360470133373,109,288.0
110,-116.47252216608535,142.87882544690567,110,288.0
111,-116.14694454537104,132.32724947608034,111,288.0
112,-136.24220386571028,114.39045193465083,112,288.0
113,-150.80037614526657,130.86334995954115,113,288.0
114,-125.85489330178058,131.10018399828675,114,288.0
115,-130.9574452115174,150.403268492582,115,288.0
116,-57.123122328562125,167.571180067549,116,288.0
117,-67.7982611015493,153.21517081030728,117,288.0
118,-116.90892217639274,159.82956184278305,118,288.0
119,-190.9908241664042,313.34668192490363,119,288.0
120,-48.86973862310501,154.20306084034496,120,288.0
121,-130.93390016126895,210.25498196408756,121,288.0
