#{"t_start": 1749428747.643004, "env_id": "None"}
r,l,t
-391.855351,432,8532.404001
-286.265701,432,8532.72298
-801.754041,432,8533.032998
-230.728089,432,8533.353691
-637.879481,432,8533.670634
-387.416237,432,8533.978828
-121.650369,432,8534.28704
-595.29715,432,8534.598679
-335.190281,432,8534.909638
-545.616733,432,8535.223198
-313.222374,432,8535.531909
-417.468294,432,8535.844507
-671.093744,432,8536.148936
-374.9389,432,8536.461464
-346.397478,432,8536.771953
-231.687487,432,8537.083844
-314.086059,432,8537.390447
-462.085403,432,8537.704241
-587.713978,432,8538.020334
-366.140424,432,8538.336309
-656.228415,432,8538.645813
-403.118965,432,8539.264886
-396.971,432,8539.579646
-696.663,432,8539.887904
-659.853905,432,8540.207048
-185.705645,432,8540.513287
-515.417427,432,8540.821748
-502.969427,432,8541.128085
-75.754013,432,8541.432648
-401.833514,432,8541.736184
-452.001759,432,8542.049617
-266.276403,432,8542.366471
-426.150554,432,8542.685186
-407.778608,432,8542.993691
-743.385644,432,8543.305727
-602.753583,432,8543.613551
-533.707499,432,8543.922071
-801.910154,432,8544.230155
-120.760496,432,8544.538816
-395.144971,432,8544.850941
-516.166163,432,8545.163071
-625.787233,432,8545.467221
-773.262169,432,8546.091349
-781.107404,432,8546.406396
-265.078614,432,8546.7146
-306.153379,432,8547.031222
-548.629314,432,8547.339079
-655.809966,432,8547.644925
-190.905965,432,8547.957566
-117.919531,432,8548.265883
-702.729147,432,8548.583939
-152.619247,432,8548.887619
-480.964587,432,8549.201451
-534.249227,432,8549.51406
-572.230428,432,8549.828122
-428.825145,432,8550.136748
-41.085858,432,8550.448548
-503.159126,432,8550.758945
-225.199227,432,8551.068751
-686.565995,432,8551.37534
-123.558739,432,8551.687587
-694.094173,432,8551.994705
-573.94255,432,8552.323762
-126.355899,432,8552.641222
-197.537921,432,8553.276772
-325.527159,432,8553.576392
-533.41109,432,8553.900071
-284.118796,432,8554.212353
-168.186942,432,8554.524629
-564.881614,432,8554.832283
-395.587835,432,8555.142751
-297.529456,432,8555.461472
-305.132935,432,8555.772197
-445.552244,432,8556.081872
-243.288746,432,8556.398888
-334.410026,432,8556.706751
-559.299095,432,8557.020221
-417.220392,432,8557.332363
-372.894402,432,8557.645092
-560.26509,432,8557.958291
-469.694666,432,8558.270758
-739.130739,432,8558.579082
-454.241004,432,8558.889598
-375.148043,432,8559.205256
-101.176673,432,8559.518803
16.26431,432,8559.861683
7.843869,432,8560.120574
4.877224,432,8560.433238
11.185235,432,8560.683976
4.58169,432,8560.935215
-337.630131,432,8561.597993
-118.533209,432,8561.904932
-299.346114,432,8562.286498
-168.032963,432,8562.609375
-167.678369,432,8562.928313
-616.114108,432,8563.242926
-127.266401,432,8563.55279
-309.356842,432,8563.871345
-495.598835,432,8564.195212
-1011.045638,432,8564.518633
-380.549596,432,8564.828644
-288.155863,432,8565.153065
-171.92601,432,8565.46482
-474.162757,432,8565.765196
