#{"t_start": 1749419267.6116, "env_id": "None"}
r,l,t
-591.573351,432,8262.344372
-456.115539,432,8262.638031
-802.887704,432,8262.932582
-336.938477,432,8263.227352
-907.621181,432,8263.526655
-179.168041,432,8263.821223
-732.296907,432,8264.115659
-908.290146,432,8264.411159
-379.232916,432,8264.707068
-333.995771,432,8265.00222
-874.518767,432,8265.29195
-526.44138,432,8265.586314
-215.152552,432,8265.881443
-616.376616,432,8266.176055
-446.389416,432,8266.484584
-825.465316,432,8266.789381
-1208.790051,432,8267.083955
-651.031983,432,8267.380264
-765.8851,432,8267.676001
-868.81266,432,8267.972029
-763.738815,432,8268.266452
-1229.193339,432,8268.870359
-290.402627,432,8269.171428
-1145.461114,432,8269.477717
-559.278841,432,8269.780313
-555.901737,432,8270.076696
-741.428149,432,8270.3713
-460.466306,432,8270.663377
-397.054064,432,8270.957653
-610.474443,432,8271.250372
-575.871642,432,8271.544233
-551.285713,432,8271.839562
-428.559369,432,8272.132507
-512.892968,432,8272.426125
-1087.631321,432,8272.720459
-657.149306,432,8273.016618
-1032.153028,432,8273.310594
-581.240623,432,8273.605669
-1053.000419,432,8273.903651
-485.612143,432,8274.206515
-648.791909,432,8274.517382
-406.660555,432,8274.821018
-503.42603,432,8275.42652
-273.396404,432,8275.780562
-515.746065,432,8276.142839
-542.316412,432,8276.455252
-342.321392,432,8276.752629
-686.033695,432,8277.047358
-384.855938,432,8277.41284
-892.78126,432,8277.708684
-526.057111,432,8278.002447
-408.785272,432,8278.298937
-737.880863,432,8278.595512
-382.050702,432,8278.887254
-509.277985,432,8279.181846
-987.033963,432,8279.47946
-659.420874,432,8279.774858
-970.531525,432,8280.071812
-497.894489,432,8280.367154
-592.359668,432,8280.663266
-864.51002,432,8280.957391
-684.524122,432,8281.251498
-977.897491,432,8281.546855
-269.93818,432,8281.837596
-894.139685,432,8282.41825
-313.61949,432,8282.712035
-580.503775,432,8283.006163
-137.089619,432,8283.300546
-247.154208,432,8283.594419
-111.930267,432,8283.886417
-335.070041,432,8284.178135
-451.773651,432,8284.475835
-608.850694,432,8284.775845
-208.707889,432,8285.075889
-286.883817,432,8285.375378
-686.780346,432,8285.672836
-633.855463,432,8285.970273
-682.113629,432,8286.27168
-350.564195,432,8286.566794
-253.685103,432,8286.85987
-386.889411,432,8287.152101
-478.398853,432,8287.446966
-171.871667,432,8287.739569
-290.471009,432,8288.036111
-401.280525,432,8288.333441
11.614147,432,8288.671111
4.455707,432,8288.910725
49.972519,432,8289.150337
28.059741,432,8289.388672
6.845712,432,8289.628058
-231.461012,432,8290.265737
-247.857388,432,8290.560893
-406.13094,432,8290.903172
-489.576284,432,8291.206389
-591.875635,432,8291.500864
-187.094004,432,8291.795799
-323.388707,432,8292.092674
-470.508576,432,8292.392022
-273.86508,432,8292.693399
-752.428714,432,8292.992586
-501.663833,432,8293.307554
-277.91859,432,8293.608138
-967.877149,432,8293.902313
