"p_seasonality_chirps_1979_2010","-1.210994","seasonality and timing of precipitation (CHIRPS) estimated using sine curves to represent the annual temperature and precipitation cycles; positive (negative) values indicate that precipitation peaks in summer (winter); values close to 0 indicate uniform precipitation throughout the year)"
"p_seasonality_mswep_1979_2010","-1.305762","seasonality and timing of precipitation (MSWEP) estimated using sine curves to represent the annual temperature and precipitation cycles; positive (negative) values indicate that precipitation peaks in summer (winter); values close to 0 indicate uniform precipitation throughout the year)"
"p_seasonality_tmpa_1979_2010",NA,"seasonality and timing of precipitation (TMPA) estimated using sine curves to represent the annual temperature and precipitation cycles; positive (negative) values indicate that precipitation peaks in summer (winter); values close to 0 indicate uniform precipitation throughout the year)"
"frac_snow_cr2met_1979_2010","0.0211832","fraction of precipitation (CR2MET) falling as snow (i.e.; on days colder than 0 degrees C) period 1979-2010"
"frac_snow_chirps_1979_2010","0.02531555","fraction of precipitation (CHIRPS) falling as snow (i.e.; on days colder than 0 degrees C) period 1979-2010"
"frac_snow_mswep_1979_2010","0.04312589","fraction of precipitation (MSWEP) falling as snow (i.e.; on days colder than 0 degrees C) period 1979-2010"
"frac_snow_tmpa_1979_2010",NA,"fraction of precipitation (TMPA) falling as snow (i.e.; on days colder than 0 degrees C) period 1979-2010"
"high_prec_freq_cr2met_1979_2010","20.74148","frequency of high precipitation days (> 5 times mean daily precipitation) for product CR2MET"
"high_prec_freq_chirps_1979_2010","21.02872","frequency of high precipitation days (> 5 times mean daily precipitation) for product CHIRPS"
"high_prec_freq_mswep_1979_2010","19.58021","frequency of high precipitation days (> 5 times mean daily precipitation) for product MSWEP"
"high_prec_freq_tmpa_1979_2010",NA,"frequency of high precipitation days (> 5 times mean daily precipitation) for product TMPA"
"high_prec_dur_cr2met_1979_2010","1.644501","average duration of high precipitation events (number of consecutive days with precipitation > 5 times mean daily precipitation); for product CR2MET"
"high_prec_dur_chirps_1979_2010","1.526055","average duration of high precipitation events (number of consecutive days with precipitation > 5 times mean daily precipitation; for product CHIRPS"
"high_prec_dur_mswep_1979_2010","1.589005","average duration of high precipitation events (number of consecutive days with precipitation > 5 times mean daily precipitation); for product MSWEP"
"high_prec_dur_tmpa_1979_2010",NA,"average duration of high precipitation events (number of consecutive days with precipitation > 5 times mean daily precipitation); for product TMPA"
"low_prec_freq_cr2met_1979_2010","294.8645","frequency of dry days (< 1 mm/day) for product CR2MET"
"low_prec_freq_chirps_1979_2010","259.6961","frequency of dry days (< 1 mm/day) for product CHIRPS"
"low_prec_freq_mswep_1979_2010","309.6706","frequency of dry days (< 1 mm/day) for product MSWEP"
"low_prec_freq_tmpa_1979_2010",NA,"frequency of dry days (< 1 mm/day) for product TMPA"
"low_prec_dur_cr2met_1979_2010","9.327551","average duration of dry periods (number of consecutive days <1 mm/day) for product CR2MET"
"low_prec_dur_chirps_1979_2010","5.596905","average duration of dry periods (number of consecutive days <1 mm/day) for product CHIRPS"
"low_prec_dur_mswep_1979_2010","12.12121","average duration of dry periods (number of consecutive days <1 mm/day) for product MSWEP"
"low_prec_dur_tmpa_1979_2010",NA,"average duration of dry periods (number of consecutive days <1 mm/day) for product TMPA"
"p_mean_spread_1990_2010","0.1597813","coefficient of variation of basin-averaged mean annual precipitation from different products (standard deviation of p_mean_i from the four precipitation products; normalised by multi-product mean)"
"q_mean_1990_2010","0.7669697","mean daily discharge period 1990-2010"
"q_mean_1979_2010","0.8481571","mean daily discharge period 1979-2010"
"runoff_ratio_cr2met_1979_2010","0.4833862","runoff ratio (ratio of mean daily discharge to mean daily precipitation); for product CR2MET"
"runoff_ratio_chirps_1979_2010",NA,"runoff ratio (ratio of mean daily discharge to mean daily precipitation); for product CHIRPS"
"runoff_ratio_mswep_1979_2010","0.6647782","runoff ratio (ratio of mean daily discharge to mean daily precipitation); for product MSWEP"
"runoff_ratio_tmpa_1979_2010",NA,"runoff ratio (ratio of mean daily discharge to mean daily precipitation); for product TMPA"
"stream_elas_cr2met_1979_2010","0.9675654","streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale; using the mean daily discharge as reference and precipitation product CR2MET)"
"stream_elas_chirps_1979_2010",NA,"streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale; using the mean daily discharge as reference and precipitation product CHIRPS"
"stream_elas_mswep_1979_2010","1.098396","streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale; using the mean daily discharge as reference and precipitation product MSWEP"
"stream_elas_tmpa_1979_2010",NA,"streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale; using the mean daily discharge as reference and precipitation product TMPA"
"slope_fdc_1979_2010","1.680587","slope of the flow duration curve; FDC (between the log- transformed 33rd and 66th streamflow percentiles)"
"baseflow_index_1979_2010","0.7429947","baseflow index (ratio of mean daily baseflow to mean daily discharge; hydrograph separation performed using the Ladson et al. (2013) digital filter with _ set to 0.925)"
"hfd_mean","144.6316","mean half-flow date (date on which the cumulative discharge since 1 April reaches half of the annual discharge)"
"Q5_1979_2010","0.1708906","5 % flow quantile (low flows)"
"Q95_1979_2010","2.050687","95 % flow quantile (high flows)"
"high_q_freq_1979_2010","2.096929","frequency of high-flow days (> 9 times the median daily flow)"
"high_q_dur_1979_2010","2.307692","average duration of high-flow events (number of consecutive days >9 times the median daily flow)"
"low_q_freq_1979_2010","18.06853","frequency of low-flow days (< 0.2 times the mean daily flow)"
"low_q_dur_1979_2010","11.75","average duration of low-flow events (number of consecutive days <0.2 times the mean daily flow)"
"zero_q_freq_1979_2010","0","percentage of days with streamflow=0"
"sur_rights_flow_m3s","2794.517","annual flow calculated for consumptive permanent continuous surface water rights"
"gw_rights_flow_m3s","85.96722","annual flow calculated for consumptive permanent continuous groundwater water rights"
"IAI_Q","1318.856","intervention degree defined as the annual flow of surface water rights (consumptive permanent continuous); normalised by mean annual streamflow."
"IAI_P","620.5168","intervention degree defined as the annual flow of surface water rights (consumptive permanent continuous); normalised by mean annual precipitation"
"dam_index","1","0 if there is no dam within the catchment; 1 if there is at least one dam classified as large"
