#{"t_start": 1748621755.247626, "env_id": "CultivateEnv"}
r,l,t
7.786765,12,2.042423
6.910866,11,2.062112
7.702806,12,2.083312
8.42773,13,2.109735
6.931265,11,2.135845
8.281394,13,4.338599
7.27631,11,4.359638
8.351559,13,4.38398
7.043725,11,4.405669
7.53336,12,4.426917
7.541638,12,6.562675
7.09092,11,6.582955
9.473186,14,6.610292
8.302428,13,6.634452
7.035744,11,6.654552
9.697795,14,8.78259
7.155953,11,8.805757
8.399248,13,8.828563
6.418581,10,8.846519
7.004696,11,8.866058
6.305034,10,10.941047
8.289386,13,10.964884
7.40804,12,10.985428
7.1648,11,11.003829
7.585657,12,11.023287
34.513064,84,13.192221
32.957687,84,13.328507
34.581978,84,13.457995
34.781375,84,13.58853
33.116153,84,13.716073
35.040894,84,15.880484
35.075031,84,16.015093
36.201374,84,16.145337
37.689231,84,16.278395
35.853832,84,16.410241
43.931139,84,18.698879
43.768157,84,18.837536
48.330509,84,18.974028
48.963786,84,19.104387
40.015711,84,19.239532
46.705121,84,21.401745
41.80178,84,21.526816
41.235067,84,21.654486
45.098785,84,21.788477
46.68308,84,21.924769
53.15064,84,24.094869
53.82371,84,24.240904
51.91161,84,24.378161
52.567302,84,24.509119
53.213014,84,24.637902
52.557363,84,26.797967
45.583696,84,26.936863
47.934332,84,27.085531
52.211015,84,27.223867
52.258808,84,27.36503
55.419838,84,29.605453
56.161987,84,29.746147
56.280765,84,29.895597
57.166869,84,30.036781
57.792024,84,30.179679
50.855762,84,32.445373
50.748912,84,32.580891
47.83421,84,32.714047
50.603229,84,32.854799
54.794457,84,32.997004
50.716581,84,35.250557
50.801527,84,35.376102
48.69426,84,35.512711
48.384844,84,35.657906
49.968722,84,35.842403
52.989164,84,38.106295
55.323406,84,38.292421
53.342714,84,38.443448
53.501426,84,38.57293
49.463027,84,38.746679
58.628732,84,40.772767
54.703008,84,40.89169
59.01194,84,41.011175
57.673688,84,41.137442
57.266971,84,41.260612
54.750866,84,43.308642
52.055503,84,43.435049
47.893251,84,43.558848
51.490954,84,43.698025
52.640211,84,43.851269
53.305827,84,46.049
54.062273,84,46.201124
51.856599,84,46.337009
54.022951,84,46.471373
52.508174,84,46.617075
57.324444,84,48.779315
58.987156,84,48.912827
56.46683,84,49.055802
60.047619,84,49.199921
59.837318,84,49.322911
58.696299,84,51.647601
59.008393,84,51.800079
58.960405,84,51.939789
58.708665,84,52.065134
58.818337,84,52.211962
58.016228,84,54.350191
58.962083,84,54.472422
57.994939,84,54.596598
59.297227,84,54.733439
58.542284,84,54.88311
58.704232,84,57.008624
58.657178,84,57.169937
57.988901,84,57.322452
58.277003,84,57.453795
58.095466,84,57.610723
58.171265,84,59.854818
57.005907,84,59.975183
57.703863,84,60.098492
54.08507,84,60.222892
58.93036,84,60.346442
58.857746,84,62.470891
59.160296,84,62.60082
60.08392,84,62.727114
58.845812,84,62.873388
59.982026,84,63.038156
59.287149,84,65.261878
58.251425,84,65.405723
58.026371,84,65.543064
58.561819,84,65.66645
57.774152,84,65.789992
58.330944,84,67.937679
57.779658,84,68.087757
58.756868,84,68.239446
57.897745,84,68.364756
58.040255,84,68.49606
57.549411,84,70.617623
57.271388,84,70.751452
57.546634,84,70.881041
58.402348,84,71.008929
57.608288,84,71.134781
59.178575,84,73.137086
57.9203,84,73.260721
59.059913,84,73.38236
59.817975,84,73.496275
58.456333,84,73.615491
59.790603,84,75.607857
60.055771,84,75.729412
59.660656,84,75.847287
58.378417,84,75.965156
57.983342,84,76.082915
58.357692,84,78.055382
58.384473,84,78.173865
59.240509,84,78.297242
57.496141,84,78.415497
57.611757,84,78.534565
57.447196,84,80.528735
58.62272,84,80.672248
57.546158,84,80.808763
57.664918,84,80.931797
57.693202,84,81.056063
58.746911,84,83.074888
59.09989,84,83.204536
60.079753,84,83.340161
58.552094,84,83.468842
57.929173,84,83.599337
60.3063,84,85.680143
58.831522,84,85.805925
58.398964,84,85.947142
58.587727,84,86.088877
59.498348,84,86.216397
57.526165,84,88.328643
59.026398,84,88.45116
60.103888,84,88.573322
60.146906,84,88.695242
59.081691,84,88.830745
58.547465,84,90.922294
59.335208,84,91.076113
59.288744,84,91.202963
58.805685,84,91.328082
59.283719,84,91.44621
58.17652,84,93.481994
58.190605,84,93.607555
56.449939,84,93.731047
57.462343,84,93.851386
57.370779,84,93.972206
59.199411,84,96.082458
60.733861,84,96.23217
59.632484,84,96.375102
58.930371,84,96.499889
56.917194,84,96.621854
58.701837,84,98.659743
58.239041,84,98.7968
59.020443,84,98.922096
58.350209,84,99.047797
54.118235,84,99.171664
59.113905,84,101.260298
59.054477,84,101.394715
59.989233,84,101.522771
58.682967,84,101.652186
59.722139,84,101.779605
59.535194,84,103.935163
60.611826,84,104.093918
59.550385,84,104.254387
59.93849,84,104.406332
59.307826,84,104.535331
59.197313,84,106.803172
58.436591,84,106.936541
57.629569,84,107.084004
58.685276,84,107.224121
59.233398,84,107.378925
58.244864,84,109.535647
58.057613,84,109.753501
58.400539,84,109.893139
57.625252,84,110.018511
58.140494,84,110.158858
59.019831,84,112.710332
59.864897,84,112.861295
58.154835,84,112.993414
58.688201,84,113.131232
58.984496,84,113.263448
59.519289,84,115.498397
59.415741,84,115.649011
58.605971,84,115.801247
57.58452,84,115.935024
57.748235,84,116.061058
57.516939,84,118.109683
58.501813,84,118.244894
57.714381,84,118.375886
57.92326,84,118.49986
57.899051,84,118.627132
57.814645,84,120.772801
57.162667,84,120.902704
57.762017,84,121.030875
57.395931,84,121.162028
57.735518,84,121.287802
56.418595,84,123.45025
56.964667,84,123.603077
56.044327,84,123.777565
56.262124,84,123.912173
56.278021,84,124.036682
58.390532,84,126.346649
60.39255,84,126.476964
59.829577,84,126.607296
60.34159,84,126.735068
60.119115,84,126.888284
59.528919,84,129.14601
59.699327,84,129.294518
59.311662,84,129.439721
59.720869,84,129.587179
59.831181,84,129.714078
60.021107,84,132.062019
59.753943,84,132.27007
58.612659,84,132.422807
59.904651,84,132.573778
59.328452,84,132.705626
58.316235,84,134.981445
58.425025,84,135.123998
58.727273,84,135.260321
58.928378,84,135.395966
58.502979,84,135.542667
59.734005,84,137.650125
59.896537,84,137.789264
60.063099,84,137.913356
59.708974,84,138.031178
59.731904,84,138.14814
58.580891,84,140.322149
59.189473,84,140.438995
60.354406,84,140.557849
59.250706,84,140.706016
60.427773,84,140.887771
59.637943,84,142.946509
58.594135,84,143.077161
58.986771,84,143.225253
60.341073,84,143.358256
59.420129,84,143.479796
59.33888,84,145.545617
60.298094,84,145.679044
59.383705,84,145.818305
60.541632,84,145.946195
59.468276,84,146.066843
58.234378,84,148.133559
58.748808,84,148.282682
58.28979,84,148.421464
59.062234,84,148.562302
59.020815,84,148.703268
57.682354,84,150.808844
57.912496,84,150.928223
58.068629,84,151.049485
57.958954,84,151.167591
57.848457,84,151.287974
58.140565,84,153.368057
57.883243,84,153.495458
57.676577,84,153.627025
59.714479,84,153.769814
58.428115,84,153.897082
