#{"t_start": 1749438574.2325606, "env_id": "None"}
r,l,t
-680.159633,432,1.517967
-614.52834,432,2.98009
-521.838749,432,4.426153
-420.619458,432,5.868674
-209.108077,432,7.339654
-511.643493,432,8.801894
-486.540419,432,10.275094
-413.76297,432,11.718451
-566.259938,432,13.230227
-256.86889,432,14.674846
-322.414364,432,16.15108
-146.333931,432,17.627361
-586.412988,432,19.095337
-495.979355,432,20.543683
-471.422638,432,22.017375
-344.478158,432,23.509491
-502.779844,432,24.977524
-422.140645,432,26.493888
-601.946726,432,27.976512
-298.894847,432,29.445085
-509.762237,432,30.971968
-414.824403,432,32.44688
-352.03453,432,33.921107
-543.53946,432,35.416594
-299.182951,432,37.301619
-286.427166,432,38.810446
-276.927462,432,40.290092
-378.918055,432,41.766104
-286.627053,432,43.218178
-217.573565,432,44.679614
-494.555185,432,46.175784
-273.190248,432,47.648243
-179.844238,432,49.222784
-246.704923,432,50.832088
-532.9745,432,52.319411
-395.347921,432,53.776067
-78.577283,432,55.245447
-87.78496,432,56.700613
-192.036044,432,58.166971
-93.217696,432,59.651686
-218.261829,432,61.174864
85.470978,432,62.658395
-186.55357,432,64.115618
-355.752913,432,65.595719
16.788897,432,67.019015
-119.130612,432,68.474187
-30.653403,432,69.933471
127.831144,432,71.392383
-203.076191,432,72.85038
93.888852,432,74.314326
-80.303215,432,75.784377
-167.253779,432,77.247016
-111.843315,432,79.043887
-63.923956,432,80.619911
51.269337,432,82.111122
-16.409094,432,83.630957
-266.386098,432,85.156405
-387.216052,432,86.666371
-185.153953,432,88.143553
-138.45187,432,89.61514
-170.297714,432,91.144412
-97.494205,432,92.614106
-91.261429,432,94.083726
-26.184494,432,95.566181
-557.185808,432,97.044592
149.484203,432,98.543696
-3.531757,432,100.013566
30.69689,432,101.500457
-13.419292,432,103.000304
-96.478602,432,104.46778
173.799127,432,105.964121
11.365414,432,107.428847
-30.475453,432,108.880892
51.636049,432,110.378527
188.248591,432,111.858113
-393.221357,432,113.357939
-38.194141,432,114.821394
171.036175,432,116.283568
91.063615,432,117.775737
153.545419,432,119.253504
147.357703,432,120.762134
-56.188897,432,122.265675
-68.022571,432,123.734928
42.208725,432,125.226298
56.031483,432,127.126289
327.834155,432,128.38659
278.630596,432,129.100719
202.206234,432,129.814312
283.436156,432,130.596749
77.159905,432,131.435842
-215.587634,432,133.048196
-82.905423,432,134.515566
117.12005,432,135.981362
249.503853,432,137.477917
-105.449839,432,138.958901
100.028506,432,140.443083
276.289461,432,141.9229
75.151775,432,143.413934
-187.368781,432,144.912344
260.502439,432,146.416726
221.079312,432,147.900126
208.458337,432,149.394289
253.588946,432,150.886829
242.642788,432,152.382662
243.145035,432,153.889924
168.517784,432,155.384443
100.651965,432,156.89344
-2.65407,432,158.365417
166.544576,432,159.855133
176.980848,432,161.334985
45.415688,432,162.81383
-22.811429,432,164.27667
295.331477,432,165.746837
298.631678,432,167.566245
309.958687,432,169.094541
83.967008,432,170.584049
33.325706,432,172.069766
181.234455,432,173.560789
272.481748,432,175.070644
182.704084,432,176.563564
262.895502,432,178.047279
90.312309,432,179.51782
238.743834,432,181.025465
285.318865,432,182.492078
327.658663,432,183.965285
182.549627,432,185.46695
298.845613,432,186.935085
201.973419,432,188.38577
237.96826,432,189.870279
